device,device_type
015444-699041,Game
935515-308046,Computer
494514-545035,Tablet
185074-311068,Game
400057-342038,Game
700448-420097,Game
663359-727055,Tablet
441414-267037,Game
853319-326099,Phone
326408-111107,TV
255264-435087,Other
163426-377039,Game
623002-611098,TV
121535-465082,Computer
327029-555004,Computer
404499-631068,Tablet
244462-435037,TV
797326-402040,Tablet
268041-330066,TV
837488-382071,Tablet
080140-333051,Game
182384-225087,TV
357083-327024,Tablet
635502-671041,Other
431508-469043,Game
756045-366045,Phone
356033-569087,Other
027407-134107,Other
462041-551029,Game
196466-255073,Phone
480475-400058,Phone
870102-561092,TV
332309-365052,Game
181146-283081,TV
749071-214051,Phone
426103-674078,TV
130018-196079,Game
382388-310091,Other
545138-416031,Phone
580322-583025,Tablet
829410-590028,Phone
715544-515092,Computer
823051-583074,Tablet
636284-731042,Other
260324-619020,TV
299383-120078,Computer
281209-474001,Other
049029-750024,Computer
578480-173044,TV
228287-231011,TV
066126-428092,TV
774422-187059,Game
118386-379068,Tablet
890391-701006,Computer
644205-191100,Other
117300-485104,Game
669246-581099,Computer
246395-320043,Other
167253-229020,Other
946283-693090,TV
549024-773077,Phone
818544-262072,Computer
196207-310068,Computer
595233-294026,Tablet
752504-561096,TV
095549-752012,Computer
801270-618031,Other
052143-311012,Phone
326209-563023,Game
535479-542006,Computer
947350-256047,TV
795329-269010,Other
837181-561078,Other
276237-671070,Game
210319-458097,Phone
181363-316063,Tablet
344328-640073,Tablet
962354-210041,Phone
312126-592105,Game
401429-215079,TV
568218-660096,Game
159065-533029,Game
006138-299032,TV
093238-725059,Computer
980394-424029,Game
855257-579063,Computer
504456-464057,Phone
672501-335019,TV
385411-334094,Other
529266-127015,Phone
258124-553043,Tablet
252122-453102,TV
698303-545005,Game
860185-770035,Game
686309-276089,TV
144508-706092,Computer
713260-351096,Other
771357-704050,Other
720088-552013,Phone
018346-722041,Tablet
761553-153050,Tablet
019012-167097,Tablet
699322-652019,TV
517526-631000,TV
032449-703075,Tablet
876139-773018,Tablet
816463-113045,Other
195456-771027,Phone
722488-663048,Other
314195-175108,Phone
508279-620105,Phone
870166-255000,Other
889254-592024,Phone
107454-484072,Tablet
358412-293048,Phone
423088-287090,Other
882494-700090,Tablet
533313-455003,TV
075256-601107,Other
455276-526099,Tablet
065236-371094,Computer
277313-612004,Tablet
220158-558035,Game
645066-413036,Game
355273-771102,Game
610017-130047,Game
406506-187092,Computer
284339-656084,Other
338316-744110,Other
070191-695000,Other
751394-154066,Phone
569057-640044,Tablet
300394-450049,Game
739416-420009,Game
311217-525045,Game
917359-495025,Computer
261496-701096,Computer
345372-487032,Tablet
908357-156106,Other
682506-728061,Tablet
802251-462041,Game
067169-566089,Computer
021380-331042,Phone
608445-506060,Other
348128-693107,Phone
725227-288077,Computer
582052-333038,Tablet
637101-134075,Tablet
165294-650045,Tablet
307116-248069,Computer
129534-412040,Other
507375-495013,Tablet
042112-567036,Phone
423537-398073,Computer
639453-697095,Game
531346-362094,Other
890154-656005,Phone
884087-633056,Other
067076-439041,Game
452133-376034,TV
386438-736097,Computer
564206-619048,Game
475153-584090,Tablet
399260-165101,Computer
474044-776074,Tablet
230244-395077,Game
962001-546046,Tablet
646496-262004,Computer
698294-674071,TV
108303-472057,Tablet
325527-756092,TV
992128-645041,TV
452535-758005,Tablet
228324-687039,Computer
011191-658083,Tablet
022178-498056,TV
585440-307086,Game
492080-341109,Game
901235-409077,Phone
414011-588092,Computer
554279-631024,Tablet
054412-175046,Tablet
337000-590076,Tablet
838099-754086,TV
827332-714003,TV
179343-545070,Other
562407-125086,Computer
554457-673084,Other
894167-380083,Tablet
160516-644008,Tablet
437457-133021,Tablet
341003-127021,Game
451219-673003,Game
594177-419029,Game
521508-572012,TV
273164-419012,TV
280512-500034,Computer
742506-376022,Computer
389141-771037,Game
216414-122056,Other
199455-541075,TV
936040-668004,Computer
675378-306085,TV
688291-768069,TV
194087-124072,TV
913202-234053,Tablet
743542-281088,Computer
850468-451001,Game
048323-465088,Tablet
044433-402047,Tablet
218074-217010,TV
553391-676073,Game
339528-679081,Phone
270150-644014,TV
178412-557040,Phone
693518-731018,Tablet
743206-769099,TV
775127-178065,Other
176090-232056,Tablet
941435-767001,Tablet
237318-581099,Tablet
621382-602023,Other
102220-340046,Tablet
398366-337055,Phone
207329-373018,Computer
370241-751019,Computer
993106-716028,TV
313007-428064,Computer
144338-150083,Other
214532-133088,Tablet
938091-449083,Tablet
529116-560029,TV
400050-736064,TV
087173-740093,Game
517327-712064,TV
260431-670006,Game
349022-503106,Phone
545305-676074,TV
229532-440075,Phone
520189-656058,Other
560206-567015,Computer
869370-375041,Game
