customer_id,address_id,address_type
1,1127,C
2,6557,B
2,767,S
3,1110,S
4,5431,H
5,5504,H
5,7346,C
6,8494,H
7,5899,S
7,4488,S
8,4697,C
8,8146,H
9,3452,H
9,71,H
10,7269,B
10,8332,H
11,3787,S
11,6373,H
12,2973,B
12,5541,H
13,6685,S
14,1796,S
14,8434,H
15,2570,H
16,8172,S
16,6790,C
17,8172,S
17,6790,C
18,390,H
19,4323,H
20,4886,H
20,3709,C
21,6836,S
21,4298,H
22,6535,H
23,6282,H
24,4162,H
24,4750,B
25,7346,H
26,2547,B
26,2202,C
27,7663,H
28,6056,H
29,986,H
29,2352,H
30,2246,C
31,5082,H
32,821,H
33,8260,C
33,627,C
34,8575,H
34,2601,B
35,7037,B
35,7735,S
36,2414,H
36,8245,C
37,2414,H
37,8245,C
38,2881,H
39,5842,S
39,5046,S
40,9192,H
40,7541,H
41,2805,H
42,729,S
43,2309,H
43,4395,H
44,2377,S
45,5976,S
46,8287,C
46,2342,B
47,3900,B
48,430,H
48,1206,H
49,295,S
49,3154,H
50,1279,S
51,7629,S
52,4163,H
53,1031,H
53,2260,H
54,63,H
54,5545,S
55,4970,H
55,4591,H
56,7478,B
56,8272,H
57,3181,S
57,2512,H
58,2032,C
58,6019,H
59,9120,C
60,1047,H
60,8516,H
61,6669,C
62,4105,H
63,4433,C
64,2750,C
64,1239,S
65,7777,H
66,5445,C
66,7823,H
67,1901,S
68,3252,H
68,912,B
69,225,H
70,5302,H
71,6552,H
72,150,C
73,3609,H
74,3609,H
75,4567,S
76,924,H
76,3171,H
77,7414,H
77,5401,H
78,695,C
78,1730,H
79,4423,S
79,4658,H
80,2266,C
81,2316,H
82,8952,H
82,5887,S
83,7956,C
83,84,H
84,4652,H
85,1188,C
86,8190,S
87,8190,S
88,8251,H
89,2052,B
89,8768,S
90,2151,B
91,4546,S
92,6685,B
93,6552,H
93,2820,H
94,6552,H
94,2820,H
95,3949,H
96,143,B
96,2548,H
97,1443,S
97,1837,S
98,4277,B
99,5284,H
100,7244,B
101,2449,B
101,274,C
102,9088,C
103,1787,B
103,364,B
104,5533,B
105,1372,S
106,8575,S
107,4732,H
107,4272,S
108,4732,H
108,4272,S
109,3342,B
110,2584,S
111,2584,S
112,8446,B
112,813,B
113,2469,C
114,9096,H
115,7422,H
116,1706,C
117,1706,C
118,2477,S
118,5063,S
119,5590,H
120,1336,S
120,762,H
121,8744,H
122,8792,H
122,4548,C
123,8792,H
123,4548,C
124,5208,H
124,1117,B
125,3403,H
125,4303,H
126,3403,H
126,4303,H
127,2534,B
127,4334,H
128,865,H
129,1780,C
129,1590,B
130,1780,C
130,1590,B
131,8409,H
131,8830,S
132,4739,B
132,577,B
133,1161,H
133,987,B
134,4713,B
134,9027,H
135,959,S
136,7782,S
137,3900,H
137,3843,H
138,1010,C
139,6688,B
139,294,H
140,1345,H
140,966,H
141,6411,H
141,8314,H
142,4226,C
143,4161,C
143,1259,C
144,380,C
144,4188,H
145,956,H
146,8995,H
147,6188,C
148,3820,H
148,1339,B
149,8225,C
149,1868,C
150,776,S
151,575,S
151,4908,S
152,4141,H
152,5259,H
153,3013,H
154,8942,H
154,2348,S
155,8654,H
156,8923,B
157,3729,S
158,2024,H
159,3601,C
160,2756,C
160,2659,S
161,1848,S
161,137,H
162,2066,H
162,3152,B
163,2066,H
163,3152,B
164,8380,S
164,1257,H
165,8035,C
166,8035,C
167,4127,H
168,3794,H
169,7757,B
170,7757,B
171,1841,H
172,2552,S
173,6196,H
174,6196,H
175,8214,C
175,5629,H
176,8033,H
177,1903,B
178,2406,H
179,6720,H
180,696,H
180,1343,H
181,7754,S
181,419,H
182,7754,S
182,419,H
183,1597,S
184,4655,H
185,6706,B
186,6212,B
186,8065,C
187,184,H
187,358,C
188,9155,H
188,3546,B
189,9155,H
189,3546,B
190,5657,B
190,4248,C
191,8307,H
192,4355,H
193,5169,H
193,8694,H
194,3791,H
195,2708,H
195,7823,B
196,943,S
197,943,S
198,7146,B
198,1230,H
199,8818,C
200,4381,S
200,2185,S
201,3943,S
202,3940,H
203,2523,H
203,4508,H
204,3068,S
205,2424,B
205,920,C
206,7229,H
207,8655,H
208,8908,H
209,8908,H
210,7312,C
211,7312,C
212,2223,C
213,6929,H
214,2743,H
215,5320,C
215,1089,H
216,5320,C
216,1089,H
217,2543,H
218,7509,S
218,4185,S
219,3741,S
220,7997,H
220,9078,B
221,2456,B
222,6703,H
222,2000,B
223,7390,H
223,5971,H
224,6445,H
225,6445,H
226,2072,H
226,6805,B
227,8097,C
228,1667,C
229,6528,B
230,4827,S
230,628,H
231,4827,S
231,628,H
232,5033,B
233,7582,H
234,9001,B
234,6772,H
235,8830,B
236,2139,H
237,6093,H
238,3154,S
238,3595,H
239,331,H
239,8909,S
240,708,H
241,1228,B
242,1624,H
242,6470,S
243,1624,H
243,6470,S
244,2928,C
245,6683,H
245,5581,H
246,1321,C
247,1953,H
247,4791,H
248,5253,H
248,8372,B
249,5661,H
249,2606,S
250,8009,B
251,8009,B
252,3975,H
253,3975,H
254,8557,H
255,3597,H
255,7535,H
256,2974,H
257,5790,H
257,6764,H
258,6549,C
259,1445,C
259,4014,S
260,471,H
260,7347,H
261,8624,H
262,8128,B
263,8958,H
264,7856,C
265,8620,H
265,3061,H
266,2511,S
266,2722,H
267,4548,B
267,6891,C
268,8782,H
268,3675,H
269,8782,H
269,3675,H
270,3662,S
271,8219,H
272,2778,S
272,3856,B
273,8787,H
273,995,B
274,1281,B
274,473,H
275,4969,H
276,3320,H
277,5110,H
277,3279,H
278,3275,S
279,3275,S
280,828,C
281,6829,H
282,2622,H
282,8069,C
283,2622,H
283,8069,C
284,7436,B
285,2126,H
285,5301,H
286,9153,H
287,6433,H
288,3667,S
288,2248,B
289,1573,C
290,1573,C
