customer_id,device
1,729129-701035
1,135453-232031
3,138145-436008
3,017492-534031
3,052350-534042
4,404472-494074
4,929146-357015
4,096114-663028
4,712145-436078
5,525078-418092
5,257272-703085
5,064295-624084
6,696539-341096
6,083303-200099
6,921537-318095
7,005106-753052
7,226019-363066
11,004347-228043
11,478392-458078
11,941240-501042
12,230524-622108
13,708455-211095
15,189088-575092
16,672285-263055
16,370109-739029
17,672285-263055
17,370109-739029
20,386438-736097
20,116545-494074
21,115524-524059
22,208089-429038
22,499101-686049
23,269006-254065
24,153364-610068
24,841180-418055
25,875031-201098
25,068261-749101
26,589151-731008
26,043130-577070
26,042415-196071
26,821215-530046
27,938343-496035
28,387329-450018
29,585267-148060
32,100432-327056
32,206522-269092
32,285066-727045
32,768062-761006
34,565327-524074
34,268166-122087
34,320012-757108
34,007347-286076
35,359077-358031
35,611371-569107
35,775043-215048
36,445273-457004
37,445273-457004
38,890249-173108
38,491005-256029
38,953067-265045
38,604391-512106
39,869338-398025
40,414360-504063
42,868326-420052
42,565327-524074
42,918211-772110
42,311297-460053
43,577174-394045
43,992547-476086
44,973255-152049
44,898507-324084
45,944011-429061
45,954479-684063
46,447148-526035
46,021535-366018
46,212358-537082
47,756290-310042
47,582052-333038
47,173067-505051
48,427132-511110
48,356033-569087
48,401429-215079
49,369245-645088
51,852279-486085
51,131050-324065
52,238255-594072
52,400057-342038
52,168150-360102
52,708191-150055
55,337398-191086
55,794512-431044
55,423361-596048
55,942240-167037
56,339446-393102
56,040089-616004
58,844406-675027
59,593095-738087
59,596228-493017
59,238547-520071
62,096187-610103
62,636267-659010
62,385338-502008
63,730253-223053
63,539424-190069
63,628418-635019
63,028460-378102
64,624142-527070
64,570296-252104
64,792511-648093
64,469503-128081
65,272117-276096
65,809133-504106
65,846071-710028
66,717537-668003
66,103146-603050
70,424516-115100
70,003107-191052
70,022310-700088
70,073527-759048
72,579291-184007
72,276165-328105
72,514180-493052
73,710067-499095
73,451537-195058
73,882449-767046
73,758455-697085
74,710067-499095
74,451537-195058
74,882449-767046
74,758455-697085
75,074217-452023
75,714335-240013
76,483445-749078
76,598111-126059
76,991214-726081
77,244269-126037
78,698405-598032
78,995469-644083
78,067341-264036
78,705299-278092
80,962392-189085
81,434127-701063
81,104483-459061
81,527493-542071
81,399297-567025
82,917290-633104
82,723346-719073
83,701121-118105
84,711456-385028
84,201166-653073
84,479104-143099
85,166343-223021
85,573225-394054
85,242319-308004
86,003107-191052
87,003107-191052
89,481554-623083
89,081223-596066
89,938058-174006
89,753267-132037
90,677460-540030
91,830459-448000
92,547201-424039
95,767203-409084
95,532250-359084
95,524121-182043
95,588449-567012
96,302532-411050
96,385411-334094
96,686156-477071
97,788234-306006
97,382515-363049
97,828282-701091
97,799481-660026
98,006306-642042
98,105431-601104
98,423183-557030
99,417172-742096
99,164320-237061
101,892379-576087
102,212123-281085
103,327029-555004
103,009356-764030
103,373170-735000
103,895325-312087
104,075256-601107
104,727077-564072
104,290550-425090
104,220248-381082
105,749071-214051
105,516321-188065
105,538266-718052
105,855214-629026
107,464132-676046
107,202488-370067
107,960288-529089
108,464132-676046
108,202488-370067
108,960288-529089
110,543220-328035
110,572220-111053
111,543220-328035
111,572220-111053
113,944014-687057
113,067232-583040
113,312261-658058
113,944527-724078
114,019243-313084
114,879192-232006
114,077363-317039
115,265346-235031
116,505060-191012
117,505060-191012
118,773059-442011
118,964525-298093
118,010230-722081
120,585376-600012
120,464498-752059
120,686275-313076
121,024421-331088
121,507364-394082
121,073297-579086
121,064121-555042
122,083271-298055
122,750133-701109
122,790502-428084
123,083271-298055
123,750133-701109
123,790502-428084
124,369461-598066
124,535005-633096
124,061509-666066
125,394268-474044
126,394268-474044
127,342243-487021
127,303325-647080
127,716537-671015
128,506222-256001
128,897115-600043
128,756356-343102
129,436409-413006
129,782344-563018
129,180281-479074
129,446253-520093
130,436409-413006
130,782344-563018
130,180281-479074
130,446253-520093
131,435167-376088
131,816390-183065
132,303467-519048
133,255088-567100
134,716085-702082
135,439425-159107
135,792345-603058
136,084510-301034
136,453033-389013
137,625225-216072
137,034251-598100
138,951484-636010
138,182544-422058
140,140438-604076
140,535476-413008
140,657112-420051
141,708455-211095
141,398521-152042
143,193086-485035
143,568534-682061
143,554149-492046
144,779174-458086
144,708035-300097
144,552158-348070
145,827315-690077
146,568534-682061
146,470413-579003
147,303205-635029
147,951484-636010
147,035041-239002
148,361442-723025
148,825497-245101
148,593371-616016
148,748396-318095
149,577388-694031
149,915342-118083
149,750052-156071
150,545281-388068
151,351399-614058
152,958248-117069
152,779174-458086
152,727113-233066
153,439372-644057
153,160129-716070
153,775266-745098
153,480534-660071
154,771357-704050
154,868551-723033
154,657222-301019
154,720076-213098
155,001152-588040
155,750329-417047
156,956225-373036
156,771088-649005
157,387401-351097
158,214381-155105
160,828282-701091
160,582057-483037
160,134065-196067
161,681415-521057
161,326424-121039
161,684225-681038
162,882282-774032
162,764458-732093
163,882282-774032
163,764458-732093
164,309445-382097
164,177221-462007
164,689533-235021
167,809495-243059
167,408347-215006
167,670414-244058
167,002413-272026
168,298437-311061
169,100432-327056
169,545359-445006
170,100432-327056
170,545359-445006
171,338496-425100
171,206522-269092
171,077149-398054
172,698200-693049
172,027099-749052
172,516052-466062
173,889455-661090
173,142548-519097
173,569050-251061
174,889455-661090
174,142548-519097
174,569050-251061
175,588220-452051
175,845543-730012
175,489066-363029
176,535200-610096
177,006548-213021
177,001378-244057
178,644361-567027
178,891463-649094
180,439438-260100
181,868055-616056
182,868055-616056
183,916167-205087
183,611371-569107
183,935368-498019
185,475231-757077
185,864432-199058
185,583103-253031
185,819269-464033
186,945202-222080
186,989437-537099
186,057262-662051
187,647539-649004
188,486544-536110
188,995194-361004
188,687219-708103
188,012444-592029
189,486544-536110
189,995194-361004
189,687219-708103
189,012444-592029
191,457229-522054
191,417436-292071
193,034163-590036
193,470395-492077
194,440434-528098
194,228073-760049
194,809014-239071
195,528344-445027
195,767203-409084
195,535007-365069
196,032468-320096
196,695058-559106
196,074217-452023
196,725227-288077
197,032468-320096
197,695058-559106
197,074217-452023
197,725227-288077
198,125432-319087
198,234414-220082
199,211042-537046
200,730541-710063
200,873264-626013
201,068304-367042
201,083132-413036
201,709284-137027
201,287000-497110
202,815358-188004
203,224106-754090
203,567209-205072
204,360144-423052
204,344106-696023
206,303085-404049
206,164096-212008
206,568218-660096
206,051189-744087
207,010227-739009
207,476133-762049
208,943021-738001
208,004370-271099
208,251309-414051
208,347176-210066
209,943021-738001
209,004370-271099
209,251309-414051
209,347176-210066
210,219035-712019
211,219035-712019
212,849244-254061
212,263528-367084
212,995189-464100
212,886058-222096
213,519445-192014
213,548235-142001
214,361442-723025
214,864432-199058
214,018302-354009
217,004347-228043
218,750052-156071
218,990148-206011
218,189278-158061
218,658107-140055
219,783003-219024
219,111190-304020
220,085104-297023
220,062082-335059
220,868511-366094
220,955253-158027
221,644134-312009
222,418311-192034
222,744236-685096
222,041121-136002
223,977099-337061
223,096349-183103
223,477451-190070
226,476039-642015
227,502301-434072
227,564159-672027
227,063409-297048
228,073297-579086
228,748400-318015
229,933345-246083
229,903344-448107
232,569460-153024
232,612433-440014
232,462361-337047
233,677542-754104
233,591197-713026
234,628382-246037
234,103183-562084
235,530145-477038
236,387185-356080
236,734424-740085
236,219483-137020
238,807075-143033
238,298011-690020
238,871541-510095
238,081077-729063
239,839143-204107
239,083218-403025
239,145367-655028
239,570424-484092
240,532336-343017
240,375468-466103
240,362379-429038
241,775227-730092
241,007317-651065
241,874506-635090
241,331511-605067
242,591429-296024
242,868456-495067
242,754471-550050
242,548255-145068
243,591429-296024
243,868456-495067
243,754471-550050
243,548255-145068
244,155254-398107
246,879192-232006
246,358401-508049
248,680326-477004
248,037311-571025
248,961294-375100
248,960188-470078
249,201408-491053
250,798200-415000
251,798200-415000
254,930071-475019
254,108123-195027
255,894236-720095
255,940074-416002
256,610370-704102
256,297129-544074
257,943043-448056
257,832376-758038
259,695053-174101
259,279252-248015
259,618499-580072
259,513160-581034
260,171363-432104
260,230524-622108
260,658049-394088
260,710067-499095
261,493184-701089
261,666471-159082
261,625464-137096
261,393448-243071
262,186476-544007
262,037311-571025
263,408200-183047
263,400260-441043
263,251358-444018
263,782086-144024
264,891316-712046
264,642150-679062
266,721144-516085
266,553258-242006
266,582052-333038
267,992093-557045
267,166073-676053
267,236164-528097
267,991369-237085
268,759105-463060
268,800423-387011
269,759105-463060
269,800423-387011
270,755308-507042
270,727077-564072
270,081223-596066
271,111190-304020
271,935534-441097
271,272424-559103
271,126328-773051
272,816490-195097
272,580092-488072
272,458293-158045
272,264368-238019
274,739102-411083
274,476039-642015
276,967091-237110
276,135520-560033
276,504456-464057
276,325527-756092
277,797072-396056
277,642150-679062
277,366322-534076
280,522165-483035
280,569460-153024
280,451095-134002
281,164261-645101
281,148013-507029
282,548203-574025
282,416323-535104
282,678360-436085
