customer_id,ipaddress
2,7f:39:9e:f4:ba:96
3,ac5f:a22f:8049:ee49:55bc:49b5:d7a5:157b
3,e909:bb1f:e32f:b4ad:21c2:1676:f056:8115
3,183.127.213.173
4,84.227.0.236
4,53:4c:a4:2f:50:62
5,4e:f7:c0:e6:aa:4f
5,d2:2a:b2:b4:18:28
5,39.139.183.232
6,168.250.11.26
7,166.58.9.100
7,141.215.59.198
7,128.122.196.242
8,d8:ca:d1:20:2e:f1
8,b9:28:69:3c:1e:b9
8,9a99:a64b:b1b0:36af:e4d8:a147:fe2a:ed18
9,3361:e586:e4d9:831b:ce43:5f79:59da:6424
9,24.172.220.45
10,0c:d3:b9:2b:14:e1
10,8b:84:8a:b7:81:4e
10,6e:72:3e:f0:62:d0
11,3c:ac:ee:5f:cd:6d
12,e6:d8:75:d1:dd:df
12,b361:6a5d:6390:4145:e346:ce0a:8799:517a
13,ef45:2667:370f:fa6d:e15b:66db:1733:5eef
14,137.56.86.111
15,37.122.36.151
15,181.77.118.16
18,8b06:d015:db65:4ab8:7a8b:6838:b1b8:5072
19,5393:70b6:1b30:b006:841e:9be4:3246:fa4
19,f4:7c:4a:e1:8a:3b
19,67.100.45.97
20,cd34:d66c:cff8:bcec:2087:ab6b:3055:fd09
21,da:50:d0:42:cb:f7
21,8f:43:83:9a:cb:9c
21,198.64.130.159
22,210.30.38.143
22,210.222.67.52
23,ffed:4286:b102:d497:a6f1:2dc7:e15b:289
23,bced:9af5:f067:ae4f:973:eecc:ef84:dbeb
24,09:a4:50:f5:06:51
24,3705:4904:8f20:b935:beb3:1ff6:f0e3:3146
25,45.199.4.134
25,e37a:420e:5f64:7823:da05:ea98:4275:d829
26,5b17:3d97:8:598:5b16:52d6:5d11:a73c
27,62.55.198.37
28,144.77.66.230
28,196.15.36.121
28,a005:57c4:64c0:3aff:8555:9f97:ff0a:c570
30,7.120.199.110
30,185.170.28.240
30,38.174.208.59
31,78.16.182.143
31,8ab:19c:9847:b4ff:f65c:b353:4588:b3d1
31,a17:3846:7c76:7d0b:82c9:d7d6:bbfb:3d13
32,b9eb:2f94:c3ec:3696:cc15:b11b:77ad:d422
32,131.152.204.111
32,ec:92:21:9a:5d:be
33,149.190.120.125
33,52:28:8a:b1:43:72
33,86:af:45:18:65:3f
34,206.80.148.48
35,22.232.240.6
35,32.12.13.167
35,bc:12:fa:5d:21:0b
39,72a3:7fc3:4708:6982:bf20:baac:5680:e230
39,22:05:18:93:74:f0
41,149.249.142.36
41,223.141.213.225
42,48e5:6b19:1be1:d459:d56b:a7e8:91fc:68d9
43,c5f5:fe6e:adf9:efd2:b97a:280a:e8a3:85a1
43,c063:4f92:fc2d:7d8f:5b45:f853:862c:f3b9
44,88:07:52:fc:f5:6f
45,195.216.197.122
46,81.172.173.84
47,192.67.21.37
48,219.215.95.19
49,bfd2:5600:f733:8199:c34b:2d13:f454:2c3a
49,66.222.131.102
50,a2:c9:13:37:31:e8
52,22.82.170.111
52,b753:4478:9bc4:7d7f:f170:8674:1741:14a6
52,ec:b9:eb:08:25:57
53,b753:4478:9bc4:7d7f:f170:8674:1741:14a6
53,121.22.69.18
54,b1b2:147e:512e:6f38:ac1:7598:93ee:748b
55,141.215.59.198
55,d4a6:7987:b614:923a:45fd:2286:6d2f:89a6
57,37:65:19:b0:f6:b7
57,112.141.185.142
58,174.45.15.167
59,55.83.153.130
60,107.31.21.229
61,36.17.132.159
62,3d91:2960:91d0:6c67:869f:eedb:dcc8:967c
62,203.113.116.239
66,df31:2b18:da9a:1397:6ce1:3e50:3428:d6fb
66,61.240.106.117
66,499a:e543:e085:e6a4:624a:d81a:4f4b:6abd
68,190.253.60.251
68,9dce:8974:4e1e:c95f:b91d:7096:2835:9023
69,bcbe:7c4f:1e0f:c7ee:644d:e24a:1ad5:c812
69,fac0:28ca:acda:f482:81e6:9e78:d160:50e0
71,73.61.152.40
71,72:5c:a8:4b:b3:1f
72,111.162.211.209
72,cf:f1:3b:df:93:6d
72,89:ef:ad:c5:e1:e2
75,64.25.216.43
75,144.250.196.80
75,72.151.196.111
76,181.82.237.175
76,30:87:fc:81:e6:bb
77,218.175.106.109
77,db:af:b3:61:90:66
78,218.125.157.209
78,41:f6:4a:0f:8e:42
78,2.170.88.29
79,219.158.241.39
80,b565:58a:2c68:81b2:7991:4c79:7954:fbca
81,59.68.111.113
81,b912:e5f4:9a65:b8cb:3038:97a2:ff22:468e
81,41:8c:d1:0c:b6:f6
82,11:75:ea:ee:55:25
83,4d9:bce9:13:fe36:7a8f:c38a:cd87:3351
83,180.6.124.198
84,71.250.141.121
84,196.201.40.10
84,28.156.158.179
85,184.8.244.80
85,43.205.19.247
86,1a:fa:8a:6f:c5:65
87,1a:fa:8a:6f:c5:65
88,223.165.122.34
88,1a:a6:18:95:51:95
88,2f:6e:db:ab:21:1a
89,48.177.163.174
90,165.21.211.68
91,219.197.226.28
91,9b:65:9f:d9:b5:94
92,166.16.150.95
92,f4:f0:86:28:3d:90
93,77.169.25.113
93,171.237.152.130
94,77.169.25.113
94,171.237.152.130
96,219.158.241.39
96,20.226.65.162
96,147.186.38.38
98,162.79.112.20
98,196.48.234.25
100,5e20:f7a8:277a:9961:b6b5:a7e0:4186:937c
100,212.111.146.88
101,09:fd:6d:cd:da:24
101,dc:3e:0b:a6:79:f3
101,198.106.224.232
102,beb8:8f79:e517:923f:9f14:1bb5:47e9:10d4
102,7e6d:43b8:a2b1:c425:de75:5674:899c:70b1
104,27.210.69.72
