customer_id,link,link_type,link_date
1,4796,Family,2016-06-03
1,8705,Friend,2017-09-12
1,2641,Family,2018-05-03
2,8779,Other,2017-08-17
2,9860,Other,2016-05-15
3,9153,Co-Worker,2019-11-13
4,5861,Group,2016-01-03
4,144,Group,2020-10-04
4,895,Family,2015-12-01
4,4249,Co-Worker,2016-08-24
5,5223,Neighbor,2016-09-04
5,8717,Group,2020-10-20
5,1111,Friend,2015-12-27
5,6500,Co-Worker,2020-06-07
6,9135,Other,2020-11-30
6,8178,Family,2020-08-06
7,4762,Group,2018-02-19
7,2391,Other,2019-01-03
9,8457,Co-Worker,2020-04-25
9,378,Co-Worker,2020-08-13
9,344,Other,2018-04-07
10,5310,Family,2015-05-31
10,3551,Group,2020-05-19
10,5579,Group,2018-07-29
11,2309,Neighbor,2020-10-24
13,4222,Friend,2018-10-28
13,8930,Family,2017-10-27
14,5502,Family,2017-07-01
15,1896,Co-Worker,2017-08-15
16,7184,Group,2015-02-05
16,6370,Friend,2017-03-14
16,4489,Family,2020-02-25
16,5136,Neighbor,2017-07-11
17,7184,Group,2015-02-05
17,6370,Friend,2017-03-14
17,4489,Family,2020-02-25
17,5136,Neighbor,2017-07-11
19,9562,Group,2015-03-21
21,7317,Co-Worker,2017-02-15
21,385,Group,2019-03-18
22,1998,Group,2016-03-16
22,5031,Co-Worker,2017-07-10
23,3812,Neighbor,2019-09-07
23,4789,Neighbor,2020-11-01
23,3104,Family,2020-01-15
24,7172,Family,2016-01-29
25,7692,Other,2019-09-01
25,6693,Group,2020-12-19
25,2973,Co-Worker,2016-07-28
25,4017,Group,2020-10-30
26,9557,Co-Worker,2015-03-14
26,9762,Group,2019-12-19
26,4225,Other,2019-02-24
27,6057,Neighbor,2018-08-10
27,9443,Co-Worker,2018-03-02
27,9149,Family,2015-05-09
28,613,Group,2019-07-18
30,5957,Other,2020-06-11
30,6127,Friend,2019-09-04
31,841,Group,2015-06-15
33,9030,Family,2017-03-11
33,7349,Friend,2018-06-10
33,5433,Co-Worker,2017-07-21
34,9912,Co-Worker,2020-11-10
34,8703,Co-Worker,2017-12-16
34,4526,Group,2015-01-07
34,1028,Family,2016-09-24
35,2446,Friend,2016-06-16
35,1066,Neighbor,2018-08-21
35,5097,Neighbor,2020-01-31
36,3766,Group,2020-08-07
37,3766,Group,2020-08-07
39,7938,Friend,2015-12-02
40,7661,Neighbor,2019-06-01
41,3115,Other,2020-11-10
41,8530,Co-Worker,2015-07-31
41,9127,Other,2016-04-14
41,7889,Group,2018-09-28
43,68,Other,2019-04-06
43,2628,Neighbor,2020-05-09
44,5430,Family,2015-09-25
44,2676,Co-Worker,2020-02-21
44,9496,Group,2015-09-30
45,9246,Neighbor,2018-04-20
45,3908,Group,2020-06-06
45,1745,Group,2018-03-15
45,1356,Family,2020-05-01
46,1106,Friend,2015-03-06
46,5351,Family,2020-06-10
46,7664,Group,2017-02-02
47,640,Neighbor,2019-10-08
47,6778,Other,2018-03-17
47,387,Family,2015-02-21
48,2616,Group,2019-09-27
48,9271,Other,2017-10-24
48,859,Neighbor,2019-02-28
49,8968,Group,2019-05-26
49,6019,Group,2020-05-16
49,3114,Co-Worker,2019-01-18
49,9075,Family,2015-06-04
50,6839,Family,2016-03-15
50,874,Group,2018-03-17
52,8467,Co-Worker,2020-08-09
52,9797,Family,2016-09-26
52,8480,Co-Worker,2017-01-04
52,3570,Family,2020-11-18
53,9477,Group,2017-02-22
53,2711,Co-Worker,2020-07-12
53,9708,Other,2019-04-30
54,4894,Neighbor,2019-06-07
54,1773,Group,2020-03-19
54,5110,Other,2015-04-08
55,7694,Group,2020-11-03
56,9233,Other,2020-01-15
56,7917,Family,2019-06-12
56,1894,Group,2017-08-19
56,6891,Group,2017-05-31
57,8816,Friend,2016-11-22
57,1759,Family,2016-06-05
57,7200,Neighbor,2015-03-22
57,1186,Neighbor,2018-07-05
58,9262,Family,2016-10-01
58,7824,Friend,2018-10-06
58,5511,Co-Worker,2015-07-28
58,3424,Neighbor,2015-05-01
59,1501,Group,2019-01-19
59,4248,Group,2018-04-09
59,6105,Family,2016-07-20
59,6350,Family,2020-07-18
60,1422,Group,2015-11-10
60,6995,Group,2019-10-08
60,6416,Neighbor,2016-06-10
60,7967,Family,2018-11-13
61,9536,Co-Worker,2017-01-04
61,7532,Neighbor,2020-11-28
61,6201,Neighbor,2018-10-20
62,5227,Co-Worker,2020-11-23
62,2863,Family,2017-12-13
62,3526,Family,2018-02-24
62,8727,Friend,2015-04-26
63,1605,Other,2016-05-03
64,1146,Friend,2017-05-29
65,2757,Family,2020-10-24
65,9032,Family,2020-08-05
65,9030,Family,2016-10-23
66,4645,Family,2019-05-17
66,645,Family,2019-01-16
66,8789,Other,2017-05-07
66,3143,Group,2017-08-23
67,7350,Neighbor,2015-09-15
67,7121,Neighbor,2020-11-15
67,5354,Friend,2016-06-22
68,6253,Group,2017-12-15
68,9151,Neighbor,2017-05-17
69,4888,Co-Worker,2017-05-14
71,6028,Other,2015-08-21
71,7822,Group,2018-11-12
72,3968,Group,2018-11-01
72,246,Group,2017-01-02
72,1468,Neighbor,2017-05-31
72,1190,Family,2015-05-05
73,3757,Neighbor,2016-10-11
73,2940,Group,2017-03-21
73,2887,Group,2016-09-12
73,7323,Group,2017-02-10
74,3757,Neighbor,2016-10-11
74,2940,Group,2017-03-21
74,2887,Group,2016-09-12
74,7323,Group,2017-02-10
75,8523,Family,2017-01-19
75,7861,Neighbor,2018-10-14
75,9882,Group,2015-07-03
76,6523,Family,2018-07-18
76,97,Friend,2016-06-20
77,7268,Family,2018-07-29
78,2222,Family,2017-07-03
80,6089,Group,2019-11-18
80,6370,Co-Worker,2015-01-11
80,6455,Family,2018-05-22
80,1265,Group,2017-05-10
81,5649,Neighbor,2017-03-10
81,3930,Group,2019-02-15
81,786,Neighbor,2020-06-21
82,331,Other,2015-03-30
82,4882,Neighbor,2020-05-03
83,1571,Family,2017-11-03
84,9030,Family,2020-11-06
84,6862,Neighbor,2016-01-04
85,8429,Co-Worker,2020-02-03
85,9780,Co-Worker,2020-09-12
85,7449,Neighbor,2016-03-20
85,2561,Group,2019-06-04
86,8941,Group,2020-12-02
86,679,Friend,2020-03-31
86,3155,Co-Worker,2018-04-03
86,629,Family,2017-10-08
87,8941,Group,2020-12-02
87,679,Friend,2020-03-31
87,3155,Co-Worker,2018-04-03
87,629,Family,2017-10-08
88,6585,Friend,2019-07-26
88,7938,Neighbor,2015-07-05
89,8586,Family,2017-05-06
89,9354,Family,2018-12-20
89,3846,Group,2020-08-13
90,7587,Neighbor,2016-01-06
90,9994,Family,2015-10-31
91,2256,Neighbor,2018-02-16
91,637,Group,2015-03-22
93,6837,Co-Worker,2017-07-22
93,6395,Family,2020-12-13
93,6950,Family,2015-08-21
94,6837,Co-Worker,2017-07-22
94,6395,Family,2020-12-13
94,6950,Family,2015-08-21
95,548,Co-Worker,2019-04-17
95,8461,Group,2018-10-11
95,4026,Group,2020-12-04
95,7954,Neighbor,2015-01-06
96,5811,Neighbor,2017-06-09
96,9793,Other,2015-03-26
96,8830,Other,2019-10-15
96,3423,Neighbor,2019-03-14
97,5379,Friend,2020-09-16
97,1215,Group,2017-02-20
97,8400,Other,2016-10-03
97,889,Friend,2016-02-20
98,7523,Other,2017-09-22
98,816,Group,2019-05-10
98,10,Family,2019-11-13
100,8310,Group,2017-10-26
100,7791,Co-Worker,2018-12-10
100,2707,Co-Worker,2020-12-07
101,7339,Family,2019-01-12
101,4516,Family,2017-07-07
103,890,Neighbor,2018-03-26
104,5589,Co-Worker,2020-07-06
106,3495,Other,2019-02-09
106,3315,Family,2016-01-23
106,3431,Family,2020-10-19
106,8558,Group,2016-08-21
107,1804,Neighbor,2019-08-12
107,2121,Co-Worker,2019-12-16
107,4925,Family,2016-03-01
108,1804,Neighbor,2019-08-12
108,2121,Co-Worker,2019-12-16
108,4925,Family,2016-03-01
110,9171,Family,2016-11-20
110,883,Friend,2015-01-14
110,1265,Family,2016-11-11
111,9171,Family,2016-11-20
111,883,Friend,2015-01-14
111,1265,Family,2016-11-11
112,3835,Group,2018-02-09
112,148,Other,2019-12-05
113,2612,Family,2017-02-02
113,6837,Group,2017-02-27
114,8731,Friend,2017-08-08
114,2988,Family,2020-08-27
115,7564,Family,2017-03-07
115,8457,Family,2019-06-17
115,5446,Family,2015-10-27
116,3416,Co-Worker,2017-02-11
116,4961,Neighbor,2015-02-14
116,2135,Family,2019-09-17
116,8952,Family,2020-12-01
117,3416,Co-Worker,2017-02-11
117,4961,Neighbor,2015-02-14
117,2135,Family,2019-09-17
117,8952,Family,2020-12-01
122,9759,Co-Worker,2016-02-14
122,7665,Co-Worker,2017-01-15
122,6101,Neighbor,2018-09-03
122,4189,Group,2018-09-06
123,9759,Co-Worker,2016-02-14
123,7665,Co-Worker,2017-01-15
123,6101,Neighbor,2018-09-03
123,4189,Group,2018-09-06
125,5085,Family,2015-04-03
125,8716,Co-Worker,2017-07-10
126,5085,Family,2015-04-03
126,8716,Co-Worker,2017-07-10
128,9735,Friend,2019-08-25
128,1252,Family,2018-09-05
128,4817,Group,2016-10-30
128,5667,Group,2020-05-21
131,455,Other,2017-01-06
132,2112,Co-Worker,2018-04-11
132,5549,Group,2019-02-16
132,9974,Other,2020-10-04
132,3489,Group,2015-08-10
134,3967,Co-Worker,2019-05-29
134,6295,Family,2016-07-06
135,6113,Other,2015-01-14
135,2049,Group,2016-04-08
135,1189,Family,2018-04-05
135,5715,Group,2015-11-15
136,3233,Co-Worker,2016-01-22
136,7620,Family,2015-02-13
136,4863,Family,2015-01-29
136,7857,Neighbor,2020-07-13
137,9175,Group,2019-09-08
137,3999,Family,2020-02-04
138,2957,Other,2016-08-05
138,3902,Family,2016-04-04
138,5225,Neighbor,2018-02-11
139,7747,Other,2017-09-27
140,9927,Other,2017-07-26
140,6371,Family,2015-07-06
140,3375,Friend,2017-05-30
140,5337,Group,2016-09-27
141,7852,Family,2019-12-09
142,2862,Family,2018-08-04
142,3252,Group,2017-10-26
142,1574,Family,2017-12-31
142,8031,Other,2017-05-21
143,6932,Family,2017-03-11
143,6158,Co-Worker,2015-02-01
144,9043,Neighbor,2015-12-08
146,6156,Family,2018-07-22
146,1071,Co-Worker,2018-08-15
146,5161,Family,2018-03-20
146,4192,Other,2017-09-24
147,7308,Group,2015-03-02
147,8831,Neighbor,2017-02-06
147,3553,Family,2017-05-20
147,2984,Other,2017-06-03
148,1705,Neighbor,2018-08-10
148,6326,Family,2015-02-05
148,6037,Group,2018-09-08
148,4117,Family,2018-10-17
149,4300,Family,2017-01-31
150,2347,Group,2015-06-14
150,1679,Family,2019-10-31
151,6615,Neighbor,2015-09-19
153,3642,Family,2015-11-17
153,3235,Other,2018-04-28
153,5066,Group,2019-09-29
153,4744,Family,2019-11-26
154,1612,Group,2016-06-20
155,6176,Group,2017-04-26
155,8081,Co-Worker,2018-11-26
157,1134,Co-Worker,2015-04-02
158,7860,Group,2017-02-26
158,313,Friend,2016-01-09
159,7691,Family,2020-01-13
159,2921,Family,2020-02-23
161,9436,Group,2017-07-04
161,2765,Group,2018-09-10
161,1308,Neighbor,2016-04-15
161,5139,Family,2015-03-23
162,2465,Co-Worker,2017-11-11
163,2465,Co-Worker,2017-11-11
164,9145,Group,2018-05-24
164,4045,Group,2016-03-04
164,1197,Other,2017-01-27
164,7594,Neighbor,2019-05-19
165,5476,Neighbor,2015-01-14
165,5633,Family,2020-05-24
166,5476,Neighbor,2015-01-14
166,5633,Family,2020-05-24
167,3195,Family,2020-06-29
167,3426,Co-Worker,2020-12-21
167,7061,Co-Worker,2017-12-31
167,6240,Group,2018-12-29
168,857,Family,2019-06-15
169,4018,Group,2017-05-30
170,4018,Group,2017-05-30
171,5884,Family,2018-05-08
172,3728,Neighbor,2018-10-22
172,2383,Neighbor,2018-07-02
172,7681,Family,2019-08-26
172,397,Other,2017-02-10
173,5806,Group,2018-10-06
173,5112,Co-Worker,2016-12-08
174,5806,Group,2018-10-06
174,5112,Co-Worker,2016-12-08
175,2658,Neighbor,2020-01-31
177,3520,Neighbor,2018-06-16
178,8419,Neighbor,2018-08-09
179,6688,Family,2018-05-11
180,3676,Family,2016-06-08
183,7646,Co-Worker,2016-05-16
184,554,Friend,2016-11-29
185,7068,Family,2015-06-10
185,3512,Group,2017-08-04
186,6531,Neighbor,2019-10-23
186,7194,Other,2018-02-26
187,5860,Other,2020-09-19
187,736,Friend,2017-07-30
187,5972,Family,2018-06-01
187,9197,Co-Worker,2016-06-26
188,6725,Other,2018-09-15
188,8273,Family,2020-01-26
189,6725,Other,2018-09-15
189,8273,Family,2020-01-26
190,9466,Family,2018-11-10
191,3102,Other,2015-07-17
193,1405,Family,2016-07-11
193,6506,Other,2018-03-09
194,5128,Group,2017-09-03
195,5016,Family,2015-08-10
195,1019,Co-Worker,2015-01-03
196,7651,Group,2020-04-11
196,2220,Family,2015-10-04
196,1746,Group,2015-11-15
197,7651,Group,2020-04-11
197,2220,Family,2015-10-04
197,1746,Group,2015-11-15
199,2662,Group,2016-02-21
199,7925,Neighbor,2018-08-17
200,7040,Co-Worker,2020-07-20
201,4285,Neighbor,2017-04-06
201,8813,Friend,2020-03-16
201,2620,Other,2019-05-31
202,9793,Friend,2017-02-06
202,5540,Neighbor,2016-10-10
202,4760,Family,2017-11-20
202,6063,Group,2018-07-12
203,6723,Family,2020-09-28
203,8064,Family,2016-03-27
203,3540,Co-Worker,2019-12-07
204,2142,Co-Worker,2015-10-07
204,7602,Co-Worker,2018-06-29
204,5360,Other,2016-08-11
204,7849,Group,2016-04-22
205,1618,Group,2017-10-02
206,3069,Other,2020-08-06
206,7242,Group,2016-10-11
210,7373,Friend,2019-08-16
210,5769,Friend,2018-10-24
210,3057,Other,2015-04-15
210,9830,Friend,2016-06-10
