campaign_id,campaign_name,start_date,end_date,campaign_type,ad_id,ad_name,ad_channel
2,New Year's Day - Campaign,2019-01-01,2019-01-05,UpSell,2,Ad -  iPad & Tablets ,Instagram
2,New Year's Day - Campaign,2019-01-01,2019-01-05,UpSell,3,Ad -  Cameras & Camcorders ,Twitter
2,New Year's Day - Campaign,2019-01-01,2019-01-05,UpSell,4,Ad -  Portable Audio ,GoogleAds
2,New Year's Day - Campaign,2019-01-01,2019-01-05,UpSell,5,Ad -  iPad & Tablets ,MicroSite
2,New Year's Day - Campaign,2019-01-01,2019-01-05,UpSell,6,Ad -  Cameras & Camcorders ,GoogleAds
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,7,Ad -  Drain & Septic Care,SearchEngine
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,8,Ad -  Laundry ,MicroSite
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,9,Ad -  Pest Control ,Instagram
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,10,Ad -  Paper & Plastic ,MobileApp
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,11,Ad -  Cleaning Supplies ,Facebook
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,12,Ad -  Batteries ,Website
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,13,Ad -  Laundry ,SearchEngine
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,14,Ad -  Drain & Septic Care,GoogleAds
3,Martin Luther King Jr. Day - Campaign,2019-01-18,2019-01-22,Cross-Sell,15,Ad -  Light Bulbs ,MobileApp
4,Martin Luther King Jr. Day - Campaign,2019-01-19,2019-01-23,Acquisition,16,Ad -  RV Parts & Accessories ,Twitter
4,Martin Luther King Jr. Day - Campaign,2019-01-19,2019-01-23,Acquisition,17,Ad -  Tires ,MobileApp
4,Martin Luther King Jr. Day - Campaign,2019-01-19,2019-01-23,Acquisition,18,Ad -  Automotive Interior ,SearchEngine
4,Martin Luther King Jr. Day - Campaign,2019-01-19,2019-01-23,Acquisition,19,Ad -  RV Parts & Accessories ,GoogleAds
4,Martin Luther King Jr. Day - Campaign,2019-01-19,2019-01-23,Acquisition,20,Ad -  Automotive Interior ,Website
4,Martin Luther King Jr. Day - Campaign,2019-01-19,2019-01-23,Acquisition,21,Ad -  RV Parts & Accessories ,Instagram
5,Martin Luther King Jr. Day - Campaign,2019-01-20,2019-01-24,UpSell,22,Ad -  Appliances ,MicroSite
6,Martin Luther King Jr. Day - Campaign,2019-01-21,2019-01-25,Cross-Sell,23,Ad -  Coffee ,TikTok
6,Martin Luther King Jr. Day - Campaign,2019-01-21,2019-01-25,Cross-Sell,24,Ad -  Fresh Cut Flowers ,SearchEngine
6,Martin Luther King Jr. Day - Campaign,2019-01-21,2019-01-25,Cross-Sell,25,Ad -  Organic Foods ,GameApp
6,Martin Luther King Jr. Day - Campaign,2019-01-21,2019-01-25,Cross-Sell,26,Ad -  Fresh Food ,SearchEngine
6,Martin Luther King Jr. Day - Campaign,2019-01-21,2019-01-25,Cross-Sell,27,Ad -  Beverages ,MobileApp
6,Martin Luther King Jr. Day - Campaign,2019-01-21,2019-01-25,Cross-Sell,28,Ad -  Organic Foods ,GoogleAds
6,Martin Luther King Jr. Day - Campaign,2019-01-21,2019-01-25,Cross-Sell,29,Ad -  Fresh Food ,GoogleAds
6,Martin Luther King Jr. Day - Campaign,2019-01-21,2019-01-25,Cross-Sell,30,Ad -  Gift Baskets ,MicroSite
7,Home Improvement  - Campaign,2019-02-12,2019-02-16,Acquisition,31,Ad -  Bathroom Renovation ,AdobeAds
7,Home Improvement  - Campaign,2019-02-12,2019-02-16,Acquisition,32,Ad -  Bathroom Renovation ,Website
