item_id,item_desc,dept_id,dept_desc,catg_id,catg_desc,prodClass,prodBrand,item_price,item_cost,next_dept_id,next_catg_id,item_weight
0001-ca2d,10-Seconds Shoe Deodorizer and,10,Household Essentials,129,Shoe Care and Repair, Shoe Deodorizer,10 Seconds,69.99,48.99,8,4,49
0002-d98b,13 Fishing Concept A8.1 7BB Al,10,Household Essentials,129,Shoe Care and Repair, Shoe Deodorizer,13 Fishing,139.23,97.46,8,4,97
0003-1f10,Under Armour 1326413600XL Tech,10,Household Essentials,129,Shoe Care and Repair, Shoe Deodorizer,1326413600XL,18.99,7.6,8,4,8
0004-f785,2000 Flushes Blue Detergent Au,10,Household Essentials,121,Bathroom, Bathroom Cleaners,2000 Flushes,46.99,18.8,8,130,19
0005-777c,SPEED,12,Sports and Outdoors,140,Bikes, Bike Components ,20th Century Fox Home Entertainment,33.16,9.95,8,13,10
0006-186c,21ST CENTURY,8,Health,63,Childrens Health, Prenatal Vitamins and Supplements ,21st Century,8.86,6.2,6,51,6
0007-482e,Hooded Towel - Chicken,8,Home and Garden,98,Bath, Bath Towels,3 Sprouts,24.99,12.5,6,105,13
0008-1331,3 Waters Kayaks - GT Sit Insid,3,Baby,13,Nursery and Decor, Baby Decor ,3 Waters Kayaks,390,156,5,19,156
0010-acb0,3dRose Derby Chicks Roll With ,3,Baby,14,Strollers, See All Strollers,3dRose,13.75,6.88,5,12,7
0011-2cc7,3dRose Basketball Woosh Ball I,12,Sports and Outdoors,144,Sports, Basketball ,3dRose,9.99,5.99,8,19,6
0012-fa75,3dRose Football - Towel 15 by ,10,Household Essentials,127,Paper and Plastic, Paper Towels,3dRose,8.99,3.6,8,146,4
0013-aabf,Front Oval Hood Emblem for STA,12,Sports and Outdoors,144,Sports, Golf Equipment ,3G,32,12.8,8,19,13
0014-7a9f,3M Classic Ear Plug w/o Cord (,8,Health,70,Ear Care, Corded Ear Plugs,3M,57.76,34.66,6,57,35
0020-b120,3M Optime 98 H9A Earmuffs 25 d,10,Household Essentials,123,Cleaning Supplies, Surface Care and Protection,3M,15.46,7.73,8,139,8
0022-a6b2,3n2 Womens Dom-N-8 Metal PT Fa,12,Sports and Outdoors,144,Sports, Softball Gear and Equipment ,3N2,143.95,57.58,8,19,58
0023-39cf,3n2 DOM-N-8 Metal With Pitcher,12,Sports and Outdoors,144,Sports, Softball Gear and Equipment ,3N2,64.95,25.98,8,19,26
0024-c5a7,4-Way Fast Acting Nasal Spray ,8,Health,60,Allergy and Sinus, Nasal Sprays,4 Way,46.32,18.53,6,50,19
0025-198d,4moms high chair magnetic bowl,3,Baby,11,Feeding, Toddler Feeding,4moms,10.39,6.23,5,7,6
0026-36d3,Photocatalytic 360° Ultraviole,10,Household Essentials,128,Pest Control, Insect and Pest Traps,5 Star Super Deals,12.95,3.89,8,149,4
0028-f270,5% Nutrition Full As F Nitric ,8,Health,88,Protein and Fitness, Performance Formulas,5% Nutrition,24.98,9.99,6,106,10
0029-063a,AandR Pro Series Ice Roller Hock,12,Sports and Outdoors,144,Sports, Ice and Roller Hockey ,A and R,8.28,3.31,8,19,3
0030-a295,A La Maison - Liquid Hand Soap,11,Personal Care,17,Bath and Body, Hand Soaps,A La Maison,15.69,4.71,8,17,5
0032-8395,A-King ProHD 1080P Wireless Wi,3,Baby,12,Health and Safety, Baby Monitors,A-King,197.47,138.23,5,18,138
0033-5cd0,Ionica Small Wood 4 1/2 x 3/8 ,11,Personal Care,137,Shaving, Body Hair Removal,A.C.T. 898 Products Inc,5.99,4.19,8,8,4
0034-4db0,AandD Medical Premium Multi-User,8,Health,78,Home Health Care, Blood Pressure Monitors,AandD Medical,44.99,31.49,6,86,31
0036-8675,A+D Ointment Original 16 oz (P,11,Personal Care,17,Bath and Body, Body Lotions and Creams,A+D,44.46,13.34,8,17,13
0037-be4c,Method Kitchen Gel Hand Wash C,11,Personal Care,17,Bath and Body, Hand Soaps,aa,19.99,10,8,17,10
0038-49bc,4 Pack Freestyle 28g Lancets b,8,Health,78,Home Health Care, Diabetic Supplies,Abbot Precision Extra,45.49,31.84,6,86,32
0039-9166,AbDominator Multi Directional ,12,Sports and Outdoors,144,Sports, Track and Field Equipment,AbDominator,19.99,6,8,19,6
0040-255d,Ableware 745260002 Food Bumper,3,Baby,13,Nursery and Decor, Baby Bedding ,Ableware,18.74,13.12,5,19,13
0041-e521,AboutTime AboutTime Whey Prote,8,Health,88,Protein and Fitness, Protein Powder ,AboutTime,52.79,31.67,6,106,32
0042-7c8e,Abra Therapeutics - Cold and Flu,4,Beauty,17,Bath and Body, Bath Bombs Bubble Baths and Soaks,Abra Therapeutics,15.27,9.16,5,17,9
0043-60d4,Abreva Cold Sore/Fever Blister,8,Health,83,Medicine Cabinet, Skin Treatments,Abreva,123.47,37.04,6,88,37
0044-8b87,Onyx Outdoor 130900-701-004-19,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Absolute Outdoor,64.14,25.66,8,4,26
0045-d0fe,Abu Garcia Venerate Ice Spinni,8,Health,96,Weight Management, Appetite Suppressants,Abu Garcia,107.35,64.41,6,132,64
0046-38f6,Flaming Soccer Ball - 5 x 8.5,12,Sports and Outdoors,144,Sports, Soccer ,Accessory Avenue,15.99,11.19,8,19,11
0049-55fc,2 Pack - Compact Plus Test Str,8,Health,67,Diabetes Care Brands, Accu-Chek ,Accu-Chek,216.31,108.16,6,39,108
0050-c399,Free Accu-chek Aviva Meter wit,8,Health,67,Diabetes Care Brands, Accu-Chek ,Accu-Chek,199.99,80,6,39,80
0051-7c19,2 Pack Accu-Chek Guide Blood G,8,Health,67,Diabetes Care Brands, Accu-Chek ,Accu-Chek,35.09,24.56,6,39,25
0052-953b,AccuMed AT2102 Non-Contact Ins,8,Health,83,Medicine Cabinet, Thermometers ,AccuMed,24.99,10,6,88,10
0053-e39d,AX605 PRO EVENT Stopwatch Excl,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,ACCUSPLIT,33.59,16.8,8,19,17
0054-70e3,Celebrations Led Replacement B,10,Household Essentials,126,Light Bulbs, LED Light Bulbs,Ace,7.09,4.25,8,124,4
0055-7549,Beard Comb Two-Sided Green San,4,Beauty,26,Here for Every Beauty, Mens Grooming,Ace and Archer,5.12,3.58,5,10,4
0056-dde2,Double Weave Judo Gi - Blue,4,Beauty,26,Here for Every Beauty, Mens Grooming,Ace Martial Arts Supply,111.37,44.55,5,10,45
0057-eb73,Medium Weight Color Karate Uni,4,Beauty,26,Here for Every Beauty, Mens Grooming,Ace Martial Arts Supply,29,20.3,5,10,20
0058-cf38,Medium Weight Color Karate Uni,4,Beauty,26,Here for Every Beauty, Mens Grooming,Ace Martial Arts Supply,29,20.3,5,10,20
0059-e3ed,Cloth Fist Forearm Guard,4,Beauty,26,Here for Every Beauty, Mens Grooming,Ace Martial Arts Supply,22.75,15.93,5,10,16
0062-a30e,5 Pack - ACT Total Care Soothi,8,Health,89,Quit Smoking, Mint Nicotine Lozenges,ACT,22,11,6,123,11
0064-b5ba,Electric Toothbrush Sonic Edge,11,Personal Care,136,Oral Care, Electric Toothbrushes,Acteh,53.81,32.29,8,22,32
0065-c0f7,ACTION 14G 184MM 7-1/4 144PC S,12,Sports and Outdoors,140,Bikes, Bike Components ,ACTION,16.68,11.68,8,13,12
0066-6494,ACTION TRIPLE 48/38/28T BLACK ,12,Sports and Outdoors,140,Bikes, Bike Components ,ACTION,14.59,8.75,8,13,9
0068-3eba,Activa Pressure Lite Light Ene,8,Health,66,Diabetes Care, Diabetic Socks,ACT��VA,14.69,5.88,6,64,6
0069-c3fe,Safety Base with Tapered Sides,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,Adams,324.6,162.3,8,19,162
