page_id,page_location,page_menu,page_item,item_id,page_weight,page_url,next_page_id
1,Products,Products,Products,3231-6d7f,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-3231-6d7f.html,2411
2,Products,Products,Products,0716-4139,1,http://tiger-mart.com/HouseholdEssentials/Batteries/item-0716-4139.html,4476
3,Products,Products,Products,2206-a016,1,http://tiger-mart.com/Home+Garden/GardenCenter/item-2206-a016.html,4378
4,Products,Products,Products,2056-b5fd,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-2056-b5fd.html,1911
5,Products,Products,Products,1610-d0c1,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-1610-d0c1.html,2312
6,Products,Products,Products,0962-5cd6,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-0962-5cd6.html,1957
7,Products,Products,Products,0970-c278,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-0970-c278.html,2804
8,Products,Products,Products,2012-9a1a,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-2012-9a1a.html,2174
9,Products,Products,Products,2696-b8b5,1,http://tiger-mart.com/HouseholdEssentials/LightBulbs/item-2696-b8b5.html,308
10,Products,Products,Products,2051-82a1,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-2051-82a1.html,2851
11,Products,Products,Products,2835-3a6b,1,http://tiger-mart.com/HouseholdEssentials/LightBulbs/item-2835-3a6b.html,2653
12,Products,Products,Products,3388-f438,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-3388-f438.html,1577
13,Products,Products,Products,2199-128c,1,http://tiger-mart.com/Baby/Feeding/item-2199-128c.html,247
14,Products,Products,Products,4708-055e,1,http://tiger-mart.com/Baby/CarSeats/item-4708-055e.html,415
15,Products,Products,Products,2034-df75,1,http://tiger-mart.com/Baby/Strollers/item-2034-df75.html,782
16,Products,Products,Products,3165-f8df,1,http://tiger-mart.com/Baby/Feeding/item-3165-f8df.html,253
17,Products,Products,Products,2115-0a22,1,http://tiger-mart.com/Baby/BabyActivities+Gear/item-2115-0a22.html,371
18,Products,Products,Products,4330-4c3e,1,http://tiger-mart.com/Baby/Nursery+Decor/item-4330-4c3e.html,286
19,Products,Products,Products,1772-2f6f,1,http://tiger-mart.com/Baby/Strollers/item-1772-2f6f.html,207
20,Products,Products,Products,2660-09af,1,http://tiger-mart.com/Baby/Feeding/item-2660-09af.html,545
21,Products,Products,Products,5367-9eee,1,http://tiger-mart.com/Baby/Strollers/item-5367-9eee.html,674
22,Products,Products,Products,4388-b043,1,http://tiger-mart.com/Baby/ToddlersRoom/item-4388-b043.html,268
23,Products,Products,Products,3005-147f,1,http://tiger-mart.com/Baby/ToddlersRoom/item-3005-147f.html,468
24,Products,Products,Products,2784-6f2b,1,http://tiger-mart.com/Baby/BabyActivities+Gear/item-2784-6f2b.html,811
25,Products,Products,Products,1303-b947,1,http://tiger-mart.com/Baby/BabyShowerGifts/item-1303-b947.html,542
26,Products,Products,Products,3009-4706,1,http://tiger-mart.com/Beauty/Bath+Body/item-3009-4706.html,644
27,Products,Products,Products,1158-16f9,1,http://tiger-mart.com/Baby/Diapering/item-1158-16f9.html,596
28,Products,Products,Products,0402-0eb6,1,http://tiger-mart.com/Baby/Feeding/item-0402-0eb6.html,744
29,Products,Products,Products,2615-0604,1,http://tiger-mart.com/Baby/Nursery+Decor/item-2615-0604.html,904
30,Products,Products,Products,3531-0e78,1,http://tiger-mart.com/Baby/Nursery+Decor/item-3531-0e78.html,361
31,Products,Products,Products,5324-8100,1,http://tiger-mart.com/Home+Garden/Tools/item-5324-8100.html,4409
32,Products,Products,Products,0475-4313,1,http://tiger-mart.com/Baby/BabyActivities+Gear/item-0475-4313.html,147
33,Products,Products,Products,2305-c6d3,1,http://tiger-mart.com/Baby/Diapering/item-2305-c6d3.html,990
34,Products,Products,Products,3083-8c71,1,http://tiger-mart.com/Baby/Health+Safety/item-3083-8c71.html,319
35,Products,Products,Products,2516-c2e4,1,http://tiger-mart.com/Baby/ToddlersRoom/item-2516-c2e4.html,207
36,Products,Products,Products,0293-ccef,1,http://tiger-mart.com/Baby/Nursery+Decor/item-0293-ccef.html,393
37,Products,Products,Products,0438-0c0c,1,http://tiger-mart.com/Baby/Nursery+Decor/item-0438-0c0c.html,647
38,Products,Products,Products,4454-b7b0,1,http://tiger-mart.com/Home+Garden/GardenCenter/item-4454-b7b0.html,3113
39,Products,Products,Products,1935-6156,1,http://tiger-mart.com/Baby/Health+Safety/item-1935-6156.html,318
40,Products,Products,Products,0997-e653,1,http://tiger-mart.com/Baby/Nursery+Decor/item-0997-e653.html,459
41,Products,Products,Products,2093-00be,1,http://tiger-mart.com/Baby/Nursery+Decor/item-2093-00be.html,249
42,Products,Products,Products,4877-48e7,1,http://tiger-mart.com/Baby/Diapering/item-4877-48e7.html,489
43,Products,Products,Products,2515-7783,1,http://tiger-mart.com/Baby/Feeding/item-2515-7783.html,214
44,Products,Products,Products,5202-49ba,1,http://tiger-mart.com/Baby/Nursery+Decor/item-5202-49ba.html,891
45,Products,Products,Products,3494-0eb3,1,http://tiger-mart.com/Baby/Strollers/item-3494-0eb3.html,768
46,Products,Products,Products,5457-aa93,1,http://tiger-mart.com/Baby/Health+Safety/item-5457-aa93.html,177
47,Products,Products,Products,1831-e3c8,1,http://tiger-mart.com/Baby/Diapering/item-1831-e3c8.html,161
48,Products,Products,Products,1259-63a6,1,http://tiger-mart.com/Baby/Nursery+Decor/item-1259-63a6.html,488
49,Products,Products,Products,2431-eab0,1,http://tiger-mart.com/Baby/Feeding/item-2431-eab0.html,662
50,Products,Products,Products,0798-7b1c,1,http://tiger-mart.com/Baby/Nursery+Decor/item-0798-7b1c.html,479
51,Products,Products,Products,1200-03e3,1,http://tiger-mart.com/Baby/Diapering/item-1200-03e3.html,714
52,Products,Products,Products,0008-1331,1,http://tiger-mart.com/Baby/Nursery+Decor/item-0008-1331.html,797
53,Products,Products,Products,0450-3534,1,http://tiger-mart.com/Beauty/BeautyNextDay/item-0450-3534.html,370
54,Products,Products,Products,1850-72ac,1,http://tiger-mart.com/Sports+Outdoors/Sports/item-1850-72ac.html,1998
55,Products,Products,Products,0330-1d96,1,http://tiger-mart.com/Baby/Nursery+Decor/item-0330-1d96.html,443
56,Products,Products,Products,1360-b516,1,http://tiger-mart.com/Baby/Strollers/item-1360-b516.html,652
57,Products,Products,Products,4205-76c4,1,http://tiger-mart.com/Baby/BabyActivities+Gear/item-4205-76c4.html,159
