ua_id,user_agent,browser,browser_ver,device,device_os,device_osver,device_type,device_brand,device_model
1,Mozilla/5.0 (Windows NT 6.1; rv:38.0) Gecko/20100101 Firefox/38.0 K-Meleon/7C82,Firefox,38-0-None,Other,Windows,7-None-None,Computer,None,None
2,Mozilla/5.0 (Linux; Android 6.0; CRO-U00 Build/HUAWEICRO-U00; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 GSA/11.18.11.21.arm,Google,11/18/11,CRO-U00,Android,6-0-None,Tablet,Huawei,CRO-U00
3,Mozilla/5.0 (Windows NT 6.1; rv:38.0) Gecko/20100101 Firefox/38.0 K-Meleon/5940,Firefox,38-0-None,Other,Windows,7-None-None,Computer,None,None
4,Mozilla/5.0 (Linux; Android 9; vivo 1904 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/294.0.0.18.129;],Facebook,294-0-0,vivo 1904,Android,9-None-None,Tablet,vivo,1904
5,Mozilla/5.0 (Linux; Android 10; SNE-LX3 Build/HUAWEISNE-L23; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.0.0.28.135 Android (29/10; 480dpi; 1080x2128; HUAWEI; SNE-LX3; HWSNE; kirin710; pt_BR; 262372432),Instagram,169-0-0,SNE-LX3,Android,10-None-None,Tablet,Huawei,SNE-LX3
6,Mozilla/5.0 (Linux; Android 5.1.1; SM-J120G Build/LMY47X) AppleWebKit/537.36 (KHTML like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36,Chrome Mobile,56-0-2924,Samsung SM-J120G,Android,5/1/01,Tablet,Samsung,SM-J120G
7,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; InfoPath.3; wbx 1.0.0; wbxapp 1.0.0; Zoom 3.6.0; Microsoft Outlook 16.0.5071; Microsoft Outlook 16.0.5071; ms-office; MSOffice 16),Outlook,2016-None-None,Other,Windows,10-None-None,Computer,None,None
8,Mozilla/5.0 (Linux; Android 10; Mi 9T Build/QKQ1.190825.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (29/10; 440dpi; 1080x2210; Xiaomi; Mi 9T; davinci; qcom; en_US; 261079769),Instagram,168-0-0,XiaoMi Mi 9T,Android,10-None-None,Tablet,XiaoMi,Mi9T
9,Mozilla/5.0 (Linux; Android 9; Redmi 6 Pro Build/PKQ1.180917.001; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.9.23.arm64,Google,11-41-9,XiaoMi Redmi 6 Pro,Android,9-None-None,Tablet,XiaoMi,Redmi6Pro
10,Mozilla/5.0 (Linux; Android 10; SM-G960F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36Snapchat11.7.0.62 (SM-G960F; Android 10#G960FXXSCFTK2#29; gzip),Chrome Mobile WebView,87-0-4280,Samsung SM-G960F,Android,10-None-None,Tablet,Samsung,SM-G960F
11,Mozilla/5.0 (Linux; Android 10; AC2001 Build/QKQ1.200412.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36 GoogleApp/11.38.8.23.arm64,Chrome Mobile WebView,86-0-4240,AC2001,Android,10-None-None,Tablet,Generic_Android,AC2001
12,Mozilla/5.0 (Linux; Android 10; STK-AL00 Build/HUAWEISTK-AL00; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/70.0.3538.64 Mobile Safari/537.36 GSA/9.72.4.21.arm64,Google,9-72-4,STK-AL00,Android,10-None-None,Tablet,Huawei,STK-AL00
13,Mozilla/5.0 (Linux; Android 5.0.2; D6603) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile,87-0-4280,D6603,Android,5-0-2,Tablet,Sony,D6603
14,Mozilla/5.0 (Linux; Android 8.1.0; Lenovo TB-8504F Build/OPM1.171019.019; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Safari/537.36 GSA/11.40.11.23.arm64,Google,11-40-11,Lenovo TB-8504F,Android,8/1/00,Tablet,Lenovo,TB-8504F
15,Mozilla/5.0 (Linux; Android 9; JAT-LX1 Build/HUAWEIJAT-LX1; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm,Google,11-40-12,JAT-LX1,Android,9-None-None,Tablet,Huawei,JAT-LX1
16,Mozilla/5.0 (Linux; Android 10; SM-M115F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/81.0.4044.138 Mobile Safari/537.36 GSA/11.40.12.23.arm,Google,11-40-12,Samsung SM-M115F,Android,10-None-None,Tablet,Samsung,SM-M115F
17,Mozilla/5.0 (Linux; Android 7.0; NEM-L51 Build/HONORNEM-L51; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,NEM-L51,Android,7-0-None,Tablet,Generic_Android,NEM-L51
18,Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U Build/R16NW; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-G965U,Android,8-0-0,Tablet,Samsung,SM-G965U
19,Mozilla/5.0 (Linux; Android 8.1.0; BKK-AL10 Build/HONORBKK-AL10; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.66 Mobile Safari/537.36 GSA/11.38.8.23.arm64,Google,11-38-8,BKK-AL10,Android,8/1/00,Tablet,Generic_Android,BKK-AL10
20,Mozilla/5.0 (Linux; Android 8.1.0; SM-J701F Build/M1AJQ; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/85.0.4183.101 Mobile Safari/537.36 GSA/11.28.7.21.arm,Google,11/28/07,Samsung SM-J701F,Android,8/1/00,Tablet,Samsung,SM-J701F
21,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Microsoft Outlook 16.0.4954; ms-office; MSOffice 16),Outlook,2016-None-None,Other,Windows,7-None-None,Computer,None,None
22,Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) GSA/137.2.345735309 Mobile/17G68 Safari/604.1,Google,137-2-345735309,iPhone,iOS,13-6-None,Phone,Apple,iPhone
23,Mozilla/5.0 (Linux; Android 6.0; Quantum Go Build/MRA58K; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (23/6.0; 320dpi; 720x1184; Quantum; Quantum Go; Q2; mt6735; pt_BR; 261079768),Instagram,168-0-0,Quantum Go,Android,6-0-None,Tablet,Generic_Android,QuantumGo
24,Mozilla/5.0 (Linux; Android 10; SM-N970F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (29/10; 420dpi; 1080x2064; samsung; SM-N970F; d1; exynos9825; pt_BR; 262886995),Instagram,169-1-0,Samsung SM-N970F,Android,10-None-None,Tablet,Samsung,SM-N970F
25,Mozilla/5.0 (Linux; Android 10; Lenovo TB-X606X Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/81.0.4044.138 Safari/537.36 GSA/10.97.8.21.arm64,Google,10-97-8,Lenovo TB-X606X,Android,10-None-None,Tablet,Lenovo,TB-X606X
26,Mozilla/5.0 (Linux; Android 10; YAL-AL10; HMSCore 5.0.5.300; GMSCore 20.15.16) AppleWebKit/537.36 (KHTML like Gecko) Chrome/83.0.4103.106 HuaweiBrowser/11.0.5.304 Mobile Safari/537.36,Chrome,83-0-4103,Huawei Browser,Android,10-None-None,Tablet,Huawei,Browser
27,Mozilla/5.0 (Linux; Android 8.0.0; SM-A520F Build/R16NW; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.86 Mobile Safari/537.36 GSA/10.94.12.21.arm64,Google,10-94-12,Samsung SM-A520F,Android,8-0-0,Tablet,Samsung,SM-A520F
28,Mozilla/5.0 (Linux; Android 8.0.0; BV9000-F Build/O00623; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/84.0.4147.125 Mobile Safari/537.36 GSA/10.86.14.21.arm64,Google,10-86-14,BV9000-F,Android,8-0-0,Tablet,Generic_Android,BV9000-F
29,Mozilla/5.0 (Linux; Android 5.1; OPPO A37f) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.66 Mobile Safari/537.36,Chrome Mobile,87-0-4280,Oppo A37f,Android,5-1-None,Tablet,Oppo,A37f
30,Mozilla/5.0 (Linux; Android 6.0.1; LG-K220 Build/MXB48T; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.0.0.28.135 Android (23/6.0.1; 320dpi; 720x1193; LGE/lge; LG-K220; mk6p; mk6p; pt_BR; 262372425),Instagram,169-0-0,LG-K220,Android,6-0-1,Tablet,LG,K220
31,Mozilla/5.0 (Linux; Android 9; SM-T827V) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.101 Safari/537.36,Chrome,87-0-4280,Samsung SM-T827V,Android,9-None-None,Tablet,Samsung,SM-T827V
32,Mozilla/5.0 (Linux; Android 10; MI 8 Lite Build/QKQ1.190910.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.38.8.23.arm64,Google,11-38-8,XiaoMi MI 8 Lite,Android,10-None-None,Tablet,XiaoMi,MI8Lite
33,Mozilla/5.0 (Linux; Android 8.1.0; LG-Q710AL Build/O11019; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm,Google,11-41-10,LG-Q710AL,Android,8/1/00,Tablet,LG,Q710AL
34,Mozilla/5.0 (Linux; Android 9; moto g(8) play Build/PMDS29.70-81-5; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.0.0.28.135 Android (28/9; 280dpi; 720x1381; motorola; moto g(8) play; lima; mt6771; pt_BR; 262372425),Instagram,169-0-0,moto g(8) play,Android,9-None-None,Tablet,Generic_Android,motog(8)play
35,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:82.0) Gecko/20100101 Firefox/82.0 TO-Browser/TOB7.82.0.410_12,Firefox,82-0-None,Other,Windows,7-None-None,Computer,None,None
36,Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG-SM-G891A Build/R16NW; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.185 Mobile Safari/537.36 GSA/11.36.10.23.arm64,Google,11-36-10,Samsung SM-G891A,Android,8-0-0,Tablet,Samsung,SM-G891A
37,Mozilla/5.0 (Linux; Android 10; SM-A715F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.0.0.28.135 Android (29/10; 420dpi; 1080x2183; samsung; SM-A715F; a71; qcom; pt_BR; 262372432),Instagram,169-0-0,Samsung SM-A715F,Android,10-None-None,Tablet,Samsung,SM-A715F
38,Mozilla/5.0 (Linux; Android 6.0; lephone_W7) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile,87-0-4280,lephone_W7,Android,6-0-None,Tablet,Generic_Android,lephone_W7
39,Mozilla/5.0 (Linux; Android 6.0; FS508 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.110 Mobile Safari/537.36 GSA/11.34.9.23.arm,Google,11-34-9,FS508,Android,6-0-None,Tablet,Generic_Android,FS508
40,Mozilla/5.0 (Linux; Android 7.0; Thor E Build/NRD90M; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.38.8.23.arm64,Google,11-38-8,Thor E,Android,7-0-None,Tablet,Generic_Android,ThorE
41,Mozilla/5.0 (Linux; Android 11; SM-G985F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile WebView,87-0-4280,Samsung SM-G985F,Android,11-None-None,Tablet,Samsung,SM-G985F
42,Mozilla/5.0 (Linux; Android 8.0.0; BV9000Pro-F Build/O00623; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/75.0.3770.101 Mobile Safari/537.36 Viber/14.3.5.7,Chrome Mobile WebView,75-0-3770,BV9000Pro-F,Android,8-0-0,Tablet,Generic_Android,BV9000Pro-F
43,Mozilla/5.0 (Linux; Android 10; RMX1911 Build/QKQ1.200209.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm64,Google,11-40-12,RMX1911,Android,10-None-None,Tablet,Generic_Android,RMX1911
44,Mozilla/5.0 (Linux; Android 9; moto g(6) play Build/PPPS29.55-35-18-7; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36[FBAN/EMA;FBLC/pt_BR;FBAV/228.0.0.7.119;],Facebook,228-0-0,moto g(6) play,Android,9-None-None,Tablet,Generic_Android,motog(6)play
45,Mozilla/5.0 (Linux; Android 9; CPH1923) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.11.4.5118,Edge Mobile,45-11-4,CPH1923,Android,9-None-None,Tablet,Generic_Android,CPH1923
46,Mozilla/5.0 (Linux; Android 10; Redmi 8A Build/QKQ1.191014.001; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (29/10; 320dpi; 720x1369; Xiaomi; Redmi 8A; olivelite; qcom; pt_BR; 261079761),Instagram,168-0-0,XiaoMi Redmi 8A,Android,10-None-None,Tablet,XiaoMi,Redmi8A
47,Mozilla/5.0 (Linux; Android 9; SM-A207M Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/299.0.0.51.236;],Facebook,299-0-0,Samsung SM-A207M,Android,9-None-None,Tablet,Samsung,SM-A207M
48,Mozilla/5.0 (iPhone; CPU OS 14_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) FxiOS/30.0 Mobile/15E148 Safari/605.1.15,Firefox iOS,30-0-None,iPhone,iOS,14-2-1,Phone,Apple,iPhone
49,Mozilla/5.0 (Linux; Android 8.0.0; SM-G950F Build/R16NW; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm64,Google,11-40-12,Samsung SM-G950F,Android,8-0-0,Tablet,Samsung,SM-G950F
50,Mozilla/5.0 (Linux; Android 10; M2007J3SG Build/QKQ1.200419.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 BitrixMobile/Version=35,Chrome Mobile WebView,87-0-4280,M2007J3SG,Android,10-None-None,Tablet,Generic_Android,M2007J3SG
51,Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.2 Mobile/15E148 Safari/604.1,Mobile Safari,12-2-None,iPhone,iOS,12-2-None,Phone,Apple,iPhone
52,Mozilla/5.0 (Linux; Android 10; CPH1941) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.1.3076.56625,Opera Mobile,61-1-3076,CPH1941,Android,10-None-None,Tablet,Generic_Android,CPH1941
53,Mozilla/5.0 (Linux; Android 5.1.1; SM-J120H Build/LMY47V; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/73.0.3683.90 Mobile Safari/537.36 Viber/14.2.0.26,Chrome Mobile WebView,73-0-3683,Samsung SM-J120H,Android,5/1/01,Tablet,Samsung,SM-J120H
54,Mozilla/5.0 (Linux; Android 10; SM-G980F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (29/10; 480dpi; 1080x2178; samsung; SM-G980F; x1s; exynos990; pt_BR; 262886995),Instagram,169-1-0,Samsung SM-G980F,Android,10-None-None,Tablet,Samsung,SM-G980F
55,Mozilla/5.0 (Linux; Android 10; SM-G965F Build/QP1A.190711.020) AppleWebKit/537.36 (KHTML like Gecko) Chrome/67.0.3371.0 Mobile Safari/537.36,Chrome Mobile,67-0-3371,Samsung SM-G965F,Android,10-None-None,Tablet,Samsung,SM-G965F
56,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; Tablet PC 2.0; wbx 1.0.0; Microsoft Outlook 16.0.5071; ms-office; MSOffice 16),Outlook,2016-None-None,Other,Windows,10-None-None,Computer,None,None
57,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Mobile/15E148 Instagram 167.0.0.18.114 (iPhone118; iOS 13_5_1; it_IT; it-IT; scale=2.00; 828x1792; 257196069),Instagram,167-0-0,iPhone,iOS,13-5-1,Phone,Apple,iPhone118
58,Mozilla/5.0 (Linux; Android 9; Redmi 8 Build/PKQ1.190319.001; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/80.0.3987.162 Mobile Safari/537.36 Viber/14.4.0.1,Chrome Mobile WebView,80-0-3987,XiaoMi Redmi 8,Android,9-None-None,Tablet,XiaoMi,Redmi8
59,Mozilla/5.0 (Linux; Android 10; SM-T865) AppleWebKit/537.36 (KHTML like Gecko) Chrome/85.0.4183.127 Safari/537.36 (Ecosia android@85.0.4183.127),Chrome,85-0-4183,SM-T865,Android,10-None-None,Tablet,Generic_Android_Tablet,SM-T865
60,Mozilla/5.0 (Linux; Android 10; RMX2025) AppleWebKit/537.36 (KHTML like Gecko) coc_coc_browser/89.0.220 Mobile Chrome/83.0.4103.220 Mobile Safari/537.36,Coc Coc,89-0-220,RMX2025,Android,10-None-None,Tablet,Generic_Android,RMX2025
61,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; Win64; x64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; Tablet PC 2.0; wbx 1.0.0; wbxvdi 1.0.0; Microsoft Outlook 16.0.5071; Microsoft Outlook 16.0.5071; ms-office; MSOffice 16),Outlook,2016-None-None,Other,Windows,10-None-None,Computer,None,None
62,Mozilla/5.0 (Linux; Android 9; CPH2083 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/85.0.4183.101 Mobile Safari/537.36 GSA/10.84.19.21.arm64,Google,10-84-19,CPH2083,Android,9-None-None,Tablet,Generic_Android,CPH2083
63,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; Microsoft Outlook 16.0.4600; Microsoft Outlook 16.0.4600; ms-office; MSOffice 16),Outlook,2016-None-None,Other,Windows,10-None-None,Computer,None,None
64,Mozilla/5.0 (Linux; Android 10; SM-M307F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-M307F,Android,10-None-None,Tablet,Samsung,SM-M307F
65,Mozilla/5.0 (Linux; Android 8.0.0; SM-G960U Build/R16NW; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/83.0.4103.96 Mobile Safari/537.36 GSA/11.11.10.21.arm64,Google,11/11/10,Samsung SM-G960U,Android,8-0-0,Tablet,Samsung,SM-G960U
66,Mozilla/5.0 (Linux; Android 8.0.0; SM-G930V Build/R16NW; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-G930V,Android,8-0-0,Tablet,Samsung,SM-G930V
67,Mozilla/5.0 (Linux; Android 7.0; LG-US701) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile,87-0-4280,LG-US701,Android,7-0-None,Tablet,LG,US701
68,Mozilla/5.0 (Linux; Android 10; SM-T290 Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-T290,Android,10-None-None,Tablet,Samsung,SM-T290
69,Mozilla/5.0 (Linux; Android 10; motorola one zoom Build/QPHS30.29-Q3-28-13-6; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (29/10; 460dpi; 1080x2194; motorola; motorola one zoom; parker; qcom; pt_BR; 262886995),Instagram,169-1-0,motorola one zoom,Android,10-None-None,Tablet,Generic_Android,motorolaonezoom
70,Mozilla/5.0 (Linux; Android 6.0.1; SM-S727VL Build/MMB29M; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/85.0.4183.101 Mobile Safari/537.36 GSA/11.28.7.21.arm,Google,11/28/07,Samsung SM-S727VL,Android,6-0-1,Tablet,Samsung,SM-S727VL
71,Mozilla/5.0 (Linux; Android 10; POT-LX1 Build/HUAWEIPOT-L01; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,POT-LX1,Android,10-None-None,Tablet,Huawei,POT-LX1
72,Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Mobile/15E148 Instagram 169.0.0.21.133 (iPhone93; iOS 13_7; pt_BR; pt-BR; scale=2.00; 750x1334; 261791898) NW/1,Instagram,169-0-0,iPhone,iOS,13-7-None,Phone,Apple,iPhone93
73,Mozilla/5.0 (Linux; Android 10; J9210 Build/55.1.A.9.127; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm64,Google,11-40-12,J9210,Android,10-None-None,Tablet,Generic_Android,J9210
74,Mozilla/5.0 (Linux; Android 10; SM-A515F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (29/10; 420dpi; 1080x2186; samsung; SM-A515F; a51; exynos9611; pt_BR; 261079769),Instagram,168-0-0,Samsung SM-A515F,Android,10-None-None,Tablet,Samsung,SM-A515F
75,Mozilla/5.0 (iPhone; CPU iPhone OS 14_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Mobile/15E148 Instagram 169.0.0.21.133 (iPhone81; iOS 14_3; pt_BR; pt-BR; scale=2.00; 750x1334; 261791898),Instagram,169-0-0,iPhone,iOS,14-3-None,Phone,Apple,iPhone81
76,Mozilla/5.0 (Linux; Android 8.1.0; ASUS_X00LD Build/OPM1.171019.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (27/8.1.0; 320dpi; 720x1280; asus; ASUS_X00LD; ASUS_X00LD_1; qcom; pt_BR; 261079768),Instagram,168-0-0,Asus X00LD,Android,8/1/00,Tablet,Asus,X00LD
77,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Mobile/15E148 Instagram 169.0.0.21.133 (iPhone134; iOS 14_2_1; en_US; en-GB; scale=3.00; 1284x2778; 261791898),Instagram,169-0-0,iPhone,iOS,14-2-1,Phone,Apple,iPhone134
78,Mozilla/5.0 (Linux; Android 10; SM-A600FN Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GoogleApp/11.40.12.23.arm,Chrome Mobile WebView,87-0-4280,Samsung SM-A600FN,Android,10-None-None,Tablet,Samsung,SM-A600FN
79,Mozilla/5.0 (Linux; Android 10; JNY-LX2; HMSCore 4.0.3.320) AppleWebKit/537.36 (KHTML like Gecko) Chrome/83.0.4103.106 HuaweiBrowser/11.0.4.302 Mobile Safari/537.36,Chrome,83-0-4103,Huawei Browser,Android,10-None-None,Tablet,Huawei,Browser
80,Mozilla/5.0 (Linux; Android 5.1.1; SGP521) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.101 Safari/537.36,Chrome,87-0-4280,SGP521,Android,5/1/01,Tablet,Sony,SGP521
81,Mozilla/5.0 (Linux; Android 8.1.0; COL-L29 Build/HUAWEICOL-L29; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/66.0.3359.126 Mobile Safari/537.36 Viber/14.4.0.4,Chrome Mobile WebView,66-0-3359,COL-L29,Android,8/1/00,Tablet,Huawei,COL-L29
82,Mozilla/5.0 (Linux; Android 5.1; HUAWEI LYO-L21 Build/HUAWEILYO-L21; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36,Chrome Mobile WebView,86-0-4240,HUAWEI LYO-L21,Android,5-1-None,Tablet,Huawei,LYO-L21
83,Mozilla/5.0 (Linux; Android 9; SM-A920F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-A920F,Android,9-None-None,Tablet,Samsung,SM-A920F
