person1,person2,friendsSince
402,2183,38781
604,935,42100
1723,2852,35880
819,440,39319
909,2460,41945
455,1866,36525
110,2635,40624
1151,992,35160
47,894,35778
1465,605,35832
2088,2353,42256
1688,2041,38524
2367,972,36690
1558,1425,36017
878,181,35953
258,963,40866
1524,582,40872
2657,2393,40430
1934,1431,40626
2716,1229,38789
1186,1708,36257
2422,17,42468
2301,479,38067
1680,2772,38464
1199,2000,42072
1487,1199,35412
830,1215,37707
407,1739,41686
2919,1302,38953
1635,1129,40427
629,664,41350
1911,1396,37096
988,2764,37998
529,2149,42429
1771,1692,39531
1745,1191,38520
720,1032,40197
2244,2725,36299
1925,2644,41627
2764,2220,37317
1802,2635,42668
1238,2422,36661
1473,633,41725
851,765,42592
1612,1204,39317
648,2265,42685
2402,2152,39423
1433,2957,39884
1288,152,41968
476,2997,39545
2904,478,42531
940,1658,42960
1204,1304,37042
1581,1077,36899
2886,1296,36205
2786,866,40453
2779,1321,36038
2135,106,39524
2510,1505,37170
578,1284,36666
2688,1311,41570
388,467,40200
322,1380,40675
1551,784,42918
2667,2702,37007
2183,1496,42591
189,1326,35446
468,797,41997
668,354,36204
230,1989,39101
44,2517,41640
1422,536,36895
2719,2552,42849
54,1066,40980
2609,755,41589
2605,302,42153
508,1170,39593
314,725,36325
2126,1502,36317
48,2823,36293
1041,1452,37243
2427,229,36725
172,2975,37141
1481,2200,35556
2753,133,39608
1815,2226,39196
1368,893,37276
2336,2193,42246
1892,2128,39673
184,2445,36375
698,2624,37777
818,2061,38073
669,632,40685
591,310,39600
1557,1727,39602
525,759,35191
155,2568,41716
1697,1041,42499
2909,241,36439
2429,2405,35985
1388,2538,37257
2668,2555,36992
2817,1846,41643
2081,1637,42991
158,1207,35087
1333,1163,35530
2442,236,42070
1564,1864,42962
1495,2573,35985
187,592,37358
2849,730,38044
1,2663,36090
2664,1979,38177
2769,2618,35332
108,2359,39601
1332,642,41242
311,949,37713
192,732,39748
1975,2725,42906
1256,257,40087
703,543,37351
1438,2369,40805
2082,2725,38058
951,1054,36770
1002,2023,41847
769,1827,39330
2010,2188,41223
1941,1822,35989
1260,1289,40459
902,489,37004
1143,1104,36601
900,492,38196
2131,2905,42877
1709,444,36579
1930,1979,40401
173,1362,40791
1180,217,42201
47,2048,39989
296,2650,36870
1194,1630,36800
2618,2866,37094
2482,1070,39959
1823,2892,42903
1805,2127,35708
1071,2140,42773
1745,1192,42309
1312,2264,38198
411,2061,36281
2944,128,39147
2806,1412,42276
1407,1740,42641
2323,1827,41206
1702,403,38953
2768,1205,38356
383,1597,38855
2495,1140,38560
2383,2689,39647
1535,594,42472
713,1963,40914
1947,1920,36917
2560,1232,41696
1289,2609,39313
1580,1548,38140
749,1627,35962
2317,992,39917
2138,1914,39471
301,1589,36615
2063,754,43033
430,1239,37010
941,1688,36573
1821,664,37440
1039,2786,35460
1663,1010,42831
1762,373,36849
2661,777,36513
1760,379,40063
1852,628,37019
1422,44,36838
154,1633,36656
761,2235,35241
2597,2726,38352
474,1196,37805
1981,2253,42504
2716,525,40265
2359,518,42623
1976,1172,40457
1006,1100,36075
1175,2619,40312
1654,790,39443
2474,19,35426
2163,1606,38278
72,750,40184
2212,875,41621
117,2364,40291
1981,1494,35260
1049,499,35383
2721,1086,38002
1389,1226,37058
1769,2930,40671
1081,1434,36826
2749,773,38624
2653,247,39013
1012,1787,38610
2423,2502,38857
2332,67,41978
215,619,35400
1282,699,40220
288,2153,41197
1290,2624,39997
1172,1386,36563
1083,1122,40866
819,187,41920
1893,1019,35134
80,2601,42132
1504,73,38891
2830,1278,36123
79,1250,36276
98,2609,39863
1223,1546,41719
382,55,37693
1493,1867,35071
2189,2601,38134
2941,570,39718
306,520,39340
249,2336,39029
1633,2907,36711
1304,592,39001
861,1517,42583
1758,992,38037
3,1253,35972
296,1416,40983
2718,1654,41122
1767,36,40251
1058,2131,41513
2437,1997,38968
1248,2325,36636
2327,1494,37437
69,1081,39821
2230,2025,37780
1874,2245,42545
2777,2782,40717
2534,2915,38908
2520,2651,41938
2420,2239,40130
558,938,36676
2074,1489,42351
691,2528,35552
2260,2482,42538
1672,582,41395
992,640,42132
1269,2209,37963
2609,1234,39644
186,666,39889
2942,1081,42297
85,2358,38563
2114,121,36313
2498,2815,40450
982,893,42770
936,2374,38924
2712,474,40697
260,1926,41551
1050,1333,36563
1603,165,42323
2633,2156,36881
1911,2794,42228
406,762,41300
2758,444,35195
2067,785,39737
319,2281,40172
1620,1179,39987
2318,2661,37576
2204,217,37518
1996,712,42277
678,2347,42314
2071,1097,35681
1403,566,35820
1028,1783,39297
2403,2112,42859
1981,1197,42070
1657,293,42689
898,1031,37164
1877,2385,39441
1970,2571,37523
2031,705,35507
2282,2825,36507
209,111,41021
1293,537,37721
1900,2574,41307
1712,2453,39592
803,2571,40423
2593,1874,36359
875,706,40831
115,1250,39129
1482,2273,38576
232,1712,37386
273,349,42080
1365,1343,38837
2411,398,38098
152,1327,38166
1696,2707,41778
1054,1788,35534
1673,2764,35443
2990,2880,41178
94,2775,35415
143,1387,35911
1469,2546,41330
2294,811,38876
939,2545,35318
2445,2445,37267
1147,1456,41695
