tconst	averageRating	numVotes
tt0000001	5.7	1811
tt0000002	6.0	233
tt0000003	6.5	1563
tt0000004	6.0	152
tt0000005	6.2	2386
tt0000006	5.1	156
tt0000007	5.4	745
tt0000008	5.5	1967
tt0000009	5.8	190
tt0000010	6.9	6537
tt0000011	5.2	322
tt0000012	7.4	11200
tt0000013	5.8	1724
tt0000014	7.1	5030
tt0000015	6.2	949
tt0000016	5.9	1325
tt0000017	4.6	291
tt0000018	5.4	537
tt0000019	5.3	28
tt0000020	4.9	313
tt0000022	5.1	992
tt0000023	5.7	1275
tt0000024	4.3	79
tt0000025	4.2	38
tt0000026	5.7	1419
tt0000027	5.6	1033
tt0000028	5.2	961
tt0000029	6.0	3096
tt0000030	5.2	765
tt0000031	5.5	925
tt0000032	5.0	377
tt0000033	5.6	939
tt0000034	5.1	177
tt0000035	5.5	73
tt0000036	4.4	564
tt0000037	4.6	55
tt0000038	4.2	183
tt0000039	3.6	24
tt0000040	4.3	58
tt0000041	6.7	1647
tt0000042	4.5	34
tt0000043	3.5	29
tt0000044	4.4	39
tt0000045	4.5	29
tt0000046	4.2	31
tt0000047	3.6	31
tt0000048	4.8	163
tt0000049	5.3	42
tt0000050	4.2	30
tt0000051	3.7	31
tt0000052	4.4	84
tt0000053	2.8	16
tt0000054	5.3	30
tt0000055	3.7	27
tt0000056	3.2	20
tt0000057	4.4	28
tt0000058	4.3	28
tt0000059	3.5	24
tt0000060	7.7	82
tt0000061	4.1	22
tt0000062	6.4	181
tt0000063	3.5	23
tt0000064	3.2	24
tt0000065	3.4	24
tt0000066	3.4	24
tt0000067	5.9	53
tt0000068	3.6	27
tt0000069	4.8	409
tt0000070	6.4	2474
tt0000071	3.5	26
tt0000072	4.2	24
tt0000073	3.6	27
tt0000074	4.6	28
tt0000075	6.3	1751
tt0000076	4.5	499
tt0000077	4.8	30
tt0000078	3.9	67
tt0000079	4.4	32
tt0000080	4.1	28
tt0000081	4.2	29
tt0000082	4.8	46
tt0000083	4.5	30
tt0000084	4.4	27
tt0000085	4.7	28
tt0000086	4.2	30
tt0000087	4.8	34
tt0000088	4.7	29
tt0000089	6.2	920
tt0000090	4.0	28
tt0000091	6.7	3173
tt0000092	4.6	26
tt0000093	4.8	89
tt0000094	4.5	27
tt0000095	4.8	31
tt0000096	4.5	26
tt0000097	4.9	31
tt0000098	5.5	33
tt0000099	4.7	29
tt0000100	5.0	47
tt0000101	4.6	25
tt0000102	4.8	23
tt0000103	5.8	24
tt0000104	5.6	437
tt0000105	5.5	26
tt0000106	4.6	20
tt0000107	5.7	25
tt0000108	4.4	509
tt0000109	4.5	492
tt0000110	4.4	496
tt0000111	4.5	508
tt0000112	4.5	491
tt0000113	4.4	515
tt0000114	5.5	27
tt0000115	5.3	31
tt0000116	5.6	24
tt0000117	5.1	148
tt0000118	5.6	25
tt0000119	5.6	46
tt0000120	5.5	44
tt0000121	4.4	67
tt0000122	5.5	27
tt0000123	5.7	107
tt0000124	5.6	27
tt0000125	4.7	13
tt0000126	5.8	26
tt0000127	4.5	23
tt0000128	5.9	35
tt0000129	6.7	47
tt0000130	5.5	25
tt0000131	5.8	1261
tt0000132	5.1	976
tt0000133	6.5	32
tt0000134	4.6	17
tt0000135	6.7	77
tt0000137	4.6	26
tt0000138	6.5	1014
tt0000139	5.4	23
tt0000140	5.0	262
tt0000141	5.2	86
tt0000142	4.7	28
tt0000143	4.9	232
tt0000144	5.1	274
tt0000145	3.8	12
tt0000146	5.1	25
tt0000147	5.2	419
tt0000148	3.7	13
tt0000149	4.8	19
tt0000150	5.3	147
tt0000151	5.1	51
tt0000152	6.1	221
tt0000153	5.7	391
tt0000154	4.1	12
tt0000155	5.1	25
tt0000156	4.0	20
tt0000157	4.1	14
tt0000158	3.4	14
tt0000159	5.3	102
tt0000160	5.4	25
tt0000161	3.9	13
tt0000162	5.4	436
tt0000163	5.3	12
tt0000164	5.0	272
tt0000165	4.7	110
tt0000166	4.1	14
tt0000167	4.1	130
tt0000168	3.4	15
tt0000169	3.9	38
tt0000170	5.2	222
tt0000171	4.4	13
tt0000172	6.1	797
tt0000173	4.6	44
tt0000174	4.7	117
tt0000175	5.0	195
tt0000176	5.0	10
tt0000177	4.6	225
tt0000178	5.1	152
tt0000179	4.5	38
tt0000181	6.7	55
tt0000182	4.9	514
tt0000183	6.1	34
tt0000184	4.8	303
tt0000186	4.2	20
tt0000187	5.2	46
tt0000188	4.0	11
tt0000190	5.0	130
tt0000192	4.5	175
tt0000194	5.4	83
tt0000196	5.2	25
tt0000197	4.8	14
tt0000198	4.9	15
tt0000199	4.3	13
tt0000204	5.7	13
tt0000205	5.4	27
tt0000206	5.0	12
tt0000207	5.5	12
tt0000208	5.7	521
tt0000209	5.1	27
tt0000210	4.9	28
tt0000211	7.5	3816
