ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2451514,54881,1,37221,1406751,1881,7811,8,48,554,35,5.40,9.34,3.64,78.98,127.40,189.00,326.90,1.93,78.98,48.42,50.35,-140.58
2451426,62784,1,874,1534265,4456,27800,8,187,1081,97,19.83,21.21,16.11,0.00,1562.67,1923.51,2057.37,140.64,0.00,1562.67,1703.31,-360.84
2451880,61720,1,52546,1166646,1546,32046,7,151,1795,42,50.33,58.88,56.52,878.32,2373.84,2113.86,2472.96,44.86,878.32,1495.52,1540.38,-618.34
2452610,68146,1,7880,1603272,3017,38809,8,31,1956,34,79.93,112.70,27.04,0.00,919.36,2717.62,3831.80,0.00,0.00,919.36,919.36,-1798.26
2452250,46089,1,63101,356561,4421,30281,7,116,3426,40,18.02,18.92,11.54,0.00,461.60,720.80,756.80,32.31,0.00,461.60,493.91,-259.20
2451296,68320,1,73520,599554,3635,19669,4,196,3940,86,85.99,102.32,74.69,0.00,6423.34,7395.14,8799.52,128.46,0.00,6423.34,6551.80,-971.80
2451062,39133,1,74297,1291353,7162,31771,10,291,5918,4,25.21,38.57,33.94,0.00,135.76,100.84,154.28,4.07,0.00,135.76,139.83,34.92
2451671,NULL,1,41382,NULL,1170,NULL,NULL,NULL,6287,NULL,61.19,NULL,NULL,0.00,NULL,NULL,6789.00,446.03,0.00,4955.97,5402.00,NULL
2452554,70131,1,64758,1545832,2906,29627,4,9,8332,6,67.23,70.59,63.53,221.08,381.18,403.38,423.54,9.60,221.08,160.10,169.70,-243.28
2451909,46717,1,15257,1846578,2699,34020,1,291,8474,38,2.66,3.75,3.56,14.88,135.28,101.08,142.50,4.81,14.88,120.40,125.21,19.32
2452607,57708,1,81584,1091489,241,38946,7,207,8692,70,54.81,102.49,29.72,0.00,2080.40,3836.70,7174.30,166.43,0.00,2080.40,2246.83,-1756.30
NULL,44958,1,7157,NULL,2889,39555,8,235,9750,NULL,36.88,44.25,NULL,NULL,92.04,NULL,2301.00,8.28,NULL,NULL,100.32,-1825.72
2451121,70739,1,26138,1191392,2599,17853,1,218,10449,12,78.99,153.24,88.87,0.00,1066.44,947.88,1838.88,53.32,0.00,1066.44,1119.76,118.56
NULL,66553,1,NULL,NULL,3357,13496,NULL,NULL,10572,NULL,75.44,NULL,79.73,NULL,5262.18,NULL,NULL,105.24,NULL,5262.18,NULL,283.14
2452247,67978,1,95333,281933,180,7627,8,181,10856,72,68.36,99.80,27.94,0.00,2011.68,4921.92,7185.60,100.58,0.00,2011.68,2112.26,-2910.24
2451087,47861,1,73181,1816877,2620,24316,8,92,11347,84,64.96,66.90,14.71,0.00,1235.64,5456.64,5619.60,37.06,0.00,1235.64,1272.70,-4221.00
2452569,46659,1,47299,1183163,6580,6797,1,277,11421,75,23.96,25.39,17.26,0.00,1294.50,1797.00,1904.25,116.50,0.00,1294.50,1411.00,-502.50
2451533,61913,1,64195,823910,6025,7740,1,85,12271,25,24.20,39.93,22.76,0.00,569.00,605.00,998.25,34.14,0.00,569.00,603.14,-36.00
2451473,70550,1,98638,1376190,2542,26494,10,6,12425,24,28.83,36.90,8.11,0.00,194.64,691.92,885.60,17.51,0.00,194.64,212.15,-497.28
2452530,64570,1,4277,1818862,3847,40032,8,42,17092,32,60.34,88.09,59.02,0.00,1888.64,1930.88,2818.88,169.97,0.00,1888.64,2058.61,-42.24
2451303,65707,1,90006,1550324,4242,10960,10,155,17242,64,35.36,62.94,45.31,0.00,2899.84,2263.04,4028.16,173.99,0.00,2899.84,3073.83,636.80
2451801,29096,1,84108,1654728,6948,24015,8,67,17792,89,57.12,106.24,56.30,0.00,5010.70,5083.68,9455.36,350.74,0.00,5010.70,5361.44,-72.98
2452541,41418,1,7662,587445,3228,6258,4,93,18318,85,15.69,26.67,12.53,0.00,1065.05,1333.65,2266.95,53.25,0.00,1065.05,1118.30,-268.60
