person1,person2,friendsSince
6469,7640,38121
2886,185,41979
1479,4216,37104
6895,5830,41974
6019,4882,39936
4277,9291,40398
3278,5962,38269
7632,8295,36883
7953,9561,36876
117,2150,37052
7899,9586,39946
4016,4719,37107
6434,3321,38149
1840,7056,40219
8731,8306,42130
7525,7387,41735
7744,7378,40836
8733,5238,40079
4694,8636,37497
3403,5247,39454
6747,1773,43623
1736,6694,42934
4054,824,39148
5785,6814,36798
5611,443,39919
1545,8555,39386
8743,112,40603
5441,7506,41073
4446,3526,41541
5018,2026,41473
9308,7554,36671
2663,20,37987
3875,2140,41493
9242,4688,39359
8574,7690,38719
5323,9851,41003
4494,9426,43394
7178,5893,40936
3755,2957,43317
475,1129,44163
7847,5574,40917
9367,1278,41675
3022,5145,40216
2789,1950,38706
1708,7339,39061
6638,8081,37915
7255,339,39471
431,8167,41738
1426,7696,40707
135,9094,41900
4263,1037,36808
4149,6099,43018
3681,3856,37353
1010,7349,39042
2026,8387,40865
9283,4322,38080
7019,7524,40684
582,6092,43292
5004,3682,41697
7775,8212,39196
4580,7168,36733
9661,6550,39902
3988,5368,40259
9047,4181,40505
509,9221,42585
3976,7010,42502
8816,9679,40211
7261,1468,40593
4913,5805,39118
3993,5129,40093
4435,4127,44131
6689,1620,40583
6718,607,41456
4626,714,40958
890,8931,38275
1451,330,41838
5877,3301,43553
7428,7804,43516
3793,6865,41671
5100,5310,40345
9410,7601,43740
7790,292,43144
9508,8588,36696
6188,4836,40421
4057,8147,41304
315,7882,37954
6783,3224,38580
666,7846,41513
7495,8389,38791
7744,2931,40203
6196,1231,43724
1356,6622,39371
4781,4885,39208
7406,7993,41429
1053,6158,39075
6017,2484,37517
6338,8465,39803
5279,6998,38302
1093,6858,39847
1,3826,43626
1522,8766,39630
2714,2956,36797
272,2012,37803
8697,6871,37819
4385,8111,38613
2094,8657,42106
8155,1992,43988
1251,7542,36937
4409,686,42250
9658,608,43293
3322,4762,41148
8830,7560,39012
3912,2606,42564
3370,1614,43102
2333,9578,38826
6571,5468,41312
6293,4964,36756
5548,5977,36947
4856,2195,42536
3040,9311,39262
2040,1061,38666
4833,1405,39415
4234,7805,41688
4958,3516,39460
46,3364,39745
7504,9498,41069
9918,6439,39446
4127,5719,40115
2167,9381,40871
7320,3865,36906
8991,4228,38612
1117,5861,39006
3910,1241,38295
5329,9282,39768
7589,1954,41285
7850,3092,40952
1163,155,37080
4776,798,38728
7895,6076,38671
4300,566,38900
4929,1326,36639
3333,9468,36813
536,9408,43116
6350,4477,37863
3078,8650,40023
7922,9476,39888
5220,7450,38784
5024,2973,40984
6830,9973,43670
2445,1376,44059
9627,1355,38130
3620,9327,40034
1259,9588,36567
2075,3588,37742
9620,9766,40466
2126,2754,39394
4229,7091,43598
6497,416,40163
1108,8102,36743
4927,4619,37230
4347,2829,40123
2628,3117,39688
737,9035,40388
4211,2528,36773
6688,4222,43028
9433,4372,38573
4061,2916,43404
6695,3086,37026
3070,6585,42775
928,7505,42550
1276,9027,37590
3698,2919,42929
639,8524,43017
4899,2639,40664
493,9988,42065
7997,7810,43012
8814,7503,42338
6173,4205,38079
7549,7570,38113
7792,7533,38650
969,3267,39463
477,5347,37750
5948,7238,39662
6427,532,42091
8620,810,42697
7776,9576,36633
3110,5705,42287
4887,5803,40244
5405,8124,38430
9905,6987,39266
2556,6883,36559
6762,7930,42619
249,751,42174
264,5798,39686
4416,829,42939
2830,6062,38769
358,6606,42246
2383,1024,43635
4672,1696,39614
7860,206,42888
5175,2459,42673
1370,7394,38656
1102,7273,41070
1507,5799,37054
8789,832,41760
653,141,43065
2370,1645,41000
4692,1828,39335
8904,6018,38560
1480,2806,39290
5321,102,40811
5627,6007,41829
2285,6614,42580
151,3909,39427
1301,9621,41166
8903,129,44102
5975,383,41534
672,9963,38393
8591,1090,40752
1313,5835,38752
2017,8941,36965
4356,256,38322
4444,4411,42228
1570,9665,36750
6864,1389,42938
6267,670,43824
500,253,40452
4478,5922,36798
8032,5043,42723
9569,1141,36745
1301,7029,37886
3206,1914,38308
6837,1992,43897
5710,8012,41869
6182,6633,37763
1763,393,43456
4574,1236,38063
3913,230,42429
8588,6026,39721
5818,5249,42468
3408,4424,37003
5796,3066,37084
448,79,38231
6511,4963,37429
6420,6394,40518
226,4871,40129
7586,5403,39746
3662,2225,40601
2505,8077,41862
7296,1963,40213
7283,6552,43721
8556,9155,37619
2798,5876,41355
6741,7061,37171
865,4300,37356
4954,5147,43752
3835,8210,37000
1770,2938,42435
1998,8526,42284
1606,9763,40908
7849,2924,44050
2087,319,39015
7264,3066,37544
7532,8764,42896
1812,8995,41355
1074,5756,36961
2279,6000,39417
9904,4226,37544
219,1373,39146
7905,8902,43834
4118,6885,43758
6802,1093,41389
3428,6153,43803
1479,361,43969
302,8255,37738
7529,7677,42015
8928,1440,36675
1998,1985,37498
4279,3303,42053
5977,4837,38878
7381,9226,42109
3196,6045,43347
2334,5035,43030
2078,6086,37412
3894,4762,42034
6172,9068,42588
7668,2914,36674
2659,3119,41141
9725,5145,43320
9825,6719,42280
2276,1920,39333
